Link,Rodzaj (nośnik),Dział,Autor,Tytuł,Tytuł originału,Język,Wydawca,Rok wydania,Rodzaj oprawy,Wymiary,Liczba stron,Ciężar,Wydano,ISBN,EAN/UPC,Image,Description,Kategoria
/pl/mis_tulis_poznaje_przyrode-9788324183074,książka / book,Książki i czasopisma / Books and periodicals,David Melling,Miś Tuliś poznaje przyrodę,,polski,Amber,2024,Twarda,28.3x27.5,40,"0,496 kg",21.03.2024,9788324183074 (9788324183074),9788324183074,/img/product_images_new/055/856055_01_mis_tulis_poznaje_przyrode.300.jpg,"Nowy tom kultowej serii „Miś Tuliś! MISIA TULISIA KOCHAJĄ DZIECI W 30 KRAJACH! „Miś Tuliś to współczesna klasyka! „Guardian”. Mis Tuliś jest bardzo przejęty. Dziś w przedszkolu pierwszy spacer przyrodoznawczy! Przezabawne przygody zaczynają się, gdy Pani Łosia rozdaje wszystkim kartki z listą roślin i stworzeń do znalezienia i zaznaczenia. Miś Tuliś, Puszatka, Pluskaczek i ich nowi przyjaciele szukają i znajdują kwiaty, jagody, owady, kijanki, ślimaki... Aż tu nagle... KAPU, KAP ...zaskakuje ich ulewa! I co teraz będzie? Nowe sposoby odkrywania przyrody! I nowe okazje do pomagania sobie nawzajem! Miś Tuliś to ulubiony przyjaciel milionów dzieci na całym świecie. Rozczula, wzrusza, bawi i rozśmiesza. Łagodnie i z humorem w kipiących akcją, przepięknie ilustrowanych książkach oswaja najmłodszych z nowymi doświadczeniami i przeżyciami o silnym ładunku emocjonalnym. Takimi, które zapamiętuje się na całe życie, jak pierwszy śnieg i magia Gwiazdki, pierwszy dzień w przedszkolu czy pierwszy wyjazd pod namiot. Miś Tuliś dodaje otuchy, gdy dziecko próbuje czegoś nowego, gdy nie może sobie z czymś poradzić i gdy coś przeskrobie. Zawsze bardzo się stara, choć nieraz mu się nie udaje. Zawsze szczery, gotów pomóc innym, jak każde dziecko pragnie miłości i szuka przyjaciół, którzy mu pomogą, pocieszą i zachęcą, by nigdy się nie zniechęcał. Seria o Misiu Tulisiu pokazuje, jak pełna życzliwości i wzajemnej akceptacji umiejętność bycia w grupie daje radość, poczucie własnej wartości i pomaga przezwyciężyć obawy przed nieznanym. W AMBERKU ukazało się już 10 tomów w twardej oprawie na kredowym papierze. Są znakomitym prezentem i – jak pisze „Times” – „idealnymi książkami na dobranoc”. „Guardian” nazywa je „współczesną klasyką ilustrowanej literatury dziecięcej”. DAVID MELLING to jeden z najbardziej znanych i lubianych na świecie brytyjskich autorów i ilustratorów książek dla dzieci, wyróżniających się poczuciem humoru, ujmującymi postaciami, uroczymi ilustracjami i pełnym ciepła i czułości przesłaniem. Jest twórcą książek nominowanych do najważniejszych nagród, m.in. Smarties Book Award, m.in. trylogii o dzielnym rycerzu: „Umykający całusek”, „Śpij dobrze, dobry rycerzu”, „Trzy życzenia”. David Melling serię o Misiu Tulisiu napisał dla swoich dzieci. Pomysł przyszedł mu do głowy, kiedy czytał synkowi, który – tuż przed pójściem spać – mocno przytulił się do niego. Było to „przytulenie zmęczone”. Następnego ranka było „przytulenie śniadaniowe” i tak powstała zabawa w przytulenia. Wtedy miał już w szkicowniku misia, który szukał przygody… Wszystkie tomy są zainspirowane prawdziwymi wydarzeniami i przeżyciami z życia Mellinga i jego dzieci. Ta autentyczność, ponadczasowość i uniwersalność emocji pomaga maluchom tak mocno identyfikować się z Tulisiem i jego przyjaciółmi na co dzień przy zdobywaniu nowych doświadczeń.","Dla dzieci i młodzieży, Dzieci do lat 6, Dla dzieci i młodzieży, Literatura dla dzieci zagraniczna"
/pl/mis_tulis_i_bajki_na_dobranoc_pod_namiotem-9788324183555,książka / book,Książki i czasopisma / Books and periodicals,David Melling,Miś Tuliś i bajki na dobranoc pod namiotem,,polski,Amber,2024,Twarda,28.5x27.5,40,"0,495 kg",14.05.2024,9788324183555 (9788324183555),9788324183555,/img/product_images_new/776/873776_01_mis_tulis_i_bajki_na_dobranoc_pod_namiotem.300.jpg,"Kolejny tom kultowej, przepięknie ilustrowanej, pełnej humoru i czułości, kipiącej akcją serii wydawanej w 30 krajach. W Polsce sprzedanej już w ponad 100 000 egzemplarzy! „Miś Tuliś i bajki na dobranoc pod namiotem” pomaga przezwyciężyć strach przed wytworami wyobraźni i spokojnie zasnąć. „Seria o Misiu Tulisiu to współczesna klasyka! „Guardian”. „Seria o Misiu Tulisiu to idealne książki na dobranoc! „Times”. Miś Tuliś jest bardzo przejęty. Pierwszy raz będzie nocować z przyjaciółmi pod namiotem. Ale czyż można zasnąć bez bajki na dobranoc? Zbierają się więc wokół Bajkowego Kamienia. Owieczka opowiada zaskakującą historię i wtedy… zaczynają się dziać dziwne rzeczy… Przyjaciół czekają niespodziewane, zabawne przygody. Miś Tuliś to ulubiony przyjaciel milionów dzieci na całym świecie. Ma do podarowania tyle dobroci i czułości, i „tyle przytuleń-że-aż”. Rozczula, wzrusza, bawi i rozśmiesza. Łagodnie i z humorem w kipiących akcją, przepięknie ilustrowanych książkach oswaja najmłodszych z nowymi doświadczeniami i przeżyciami o silnym ładunku emocjonalnym. Takimi, które zapamiętuje się na całe życie, jak pierwszy śnieg i magia Gwiazdki, pierwszy dzień w przedszkolu czy pierwszy wyjazd pod namiot. Miś Tuliś dodaje otuchy, gdy dziecko próbuje czegoś nowego, gdy nie może sobie z czymś poradzić i gdy coś przeskrobie. Zawsze bardzo się stara, choć nieraz mu się nie udaje. Zawsze szczery, gotów pomóc innym, jak każde dziecko pragnie miłości i szuka przyjaciół, którzy mu pomogą, pocieszą i zachęcą, by nigdy się nie zniechęcał. Seria o Misiu Tulisiu pokazuje, jak pełna życzliwości i wzajemnej akceptacji umiejętność bycia w grupie daje radość, poczucie własnej wartości i pomaga przezwyciężyć obawy przed nieznanym. W AMBERKU ukazało się już 10 tomów w twardej oprawie na kredowym papierze. Są znakomitym prezentem i – jak pisze „Times” – idealnymi książkami na dobranoc. „Guardian” nazywa je współczesną klasyką ilustrowanej literatury dziecięcej. DAVID MELLING to jeden z najbardziej znanych i lubianych na świecie brytyjskich autorów i ilustratorów książek dla dzieci, wyróżniających się poczuciem humoru, ujmującymi postaciami, uroczymi ilustracjami i pełnym ciepła i czułości przesłaniem. Jest twórcą książek nominowanych do najważniejszych nagród, m.in. Smarties Book Award, w tym trylogii o dzielnym rycerzu: „Umykający całusek”, „Śpij dobrze, dobry rycerzu”, „Trzy życzenia”. David Melling serię o Misiu Tulisiu napisał dla swoich dzieci. Pomysł przyszedł mu do głowy, kiedy czytał synkowi, który – tuż przed pójściem spać – mocno przytulił się do niego. Było to „przytulenie zmęczone”. Następnego ranka było „przytulenie śniadaniowe” i tak powstała zabawa w przytulenia. Wtedy miał już w szkicowniku misia, który szukał przygody… Wszystkie tomy są zainspirowane prawdziwymi wydarzeniami i przeżyciami z życia Mellinga i jego dzieci. Ta autentyczność, ponadczasowość i uniwersalność emocji pomaga maluchom tak mocno identyfikować się z Tulisiem i jego przyjaciółmi na co dzień przy zdobywaniu nowych doświadczeń. Recenzje polskich czytelników: „To idealna książka na wieczór. Początkowo pełna emocji i napięcia, z kolejnymi stronami otula dziecko czułym przesłaniem, wycisza i redukuje napięcie emocjonalne, zostawiając z poczuciem bezpieczeństwa. Dorosłym natomiast ułatwia rozpoczęcie rozmowy o emocjach i trudnych doświadczeniach”. MiastoDzieci.pl „Koniecznie sięgnijcie po książkę. Będzie idealna do wieczornego usypiania. Od razu uspokajam, to zabawna historia i nie ma w niej ani grama strachu :-) Piękne ilustracje idealnie oddają klimat  czytanej historii – nie sposób się jej oprzeć”. @zaczytany_franek Polscy czytelnicy o Misiu Tulisiu: „Jestem fanką Misia Tulisia”. „Takiego misia, to chyba każdy chciałby przytulić”. „Wszystkie dzieci lubią Misia Tulisia”. „Z przyjemnością dopisuje tę serię do tych, które polecam małym czytelnikom”. „Kocham Misia Tulisia!”","Bajka i baśń, Bajki o zwierzętach, Bajka i baśń, Dla dzieci i młodzieży, Literatura dla dzieci zagraniczna, Dla dzieci i młodzieży, Dzieci do lat 6"
/pl/mala_kaligrafia_ladnie_pisze_wyrazy-9788383502274,książka / book,Książki i czasopisma / Books and periodicals,Grażyna Stefaniak,Mała kaligrafia. Ładnie piszę wyrazy,,polski,Olesiejuk,2023,Miękka,20.5x27.0,24,"0,122 kg",,9788383502274 (9788383502274),9788383502274,/img/product_images_new/205/808205_01_mala_kaligrafia_ladnie_pisze_wyrazy.300.jpg,"Oto zbiór fantastycznych ćwiczeń dla dzieci rozpoczynających przygodę z pisaniem. Dzięki specjalnie przygotowanym liniom kreślenie liter i wyrazów nie będzie sprawiało żadnych trudności. Dodatkową atrakcją są naklejki, które należy umieścić w odpowiednich miejscach. Pisz po śladzie, uzupełniaj brakujące litery, przyklejaj nalepki i dobrze się baw!",Dla dzieci i młodzieży
/pl/montessori_elementarz_czterolatka-9788382406238,książka / book,Książki i czasopisma / Books and periodicals,Zuzanna Osuchowska,Montessori Elementarz czterolatka,,polski,Zielona Sowa,2022,Miękka,20.0x28.8,32,"0,194 kg",29.06.2022,9788382406238 (9788382406238),9788382406238,/img/product_images_new/766/652766_01_montessori_elementarz_czterolatka.300.jpg,"Baw się wspólnie z dzieckiem i pomóż mu zdobywać wiedzę! Koniecznie sięgnijcie po elementarze z serii Montessori! „Montessori” to cykl przeznaczony dla dzieci w wieku przedszkolnym, przygotowany w duchu pedagogiki Montessori. Treść elementarzy została opracowana na podstawie długoletnich doświadczeń autorki zdobytych w pracy dydaktyczno-wychowawczej. W każdej książce znajduje się wiele różnorodnych zadań, które .: rozwijają spostrzegawczość i logiczne myślenie, ćwiczą umiejętność formułowania myśli, wzbogacają słownictwo, umożliwiają poznawanie świata. Układ książki wymaga, by dziecku towarzyszyła osoba dorosła, która odczytuje polecenia, wyjaśnia sposób wykonania zadań, służy pomocą, zachęca do ukończenia pracy. Dziecko staje się współtwórcą książki, a to stwarza doskonałą okazję do licznych rozmów, wypowiadania się na temat wykonywanych ćwiczeń, oceny pracy, dzielenia się własnymi spostrzeżeniami. Do elementarzy dołączone są naklejki oraz dwie karty z elementami do wycinania. Seria zawiera także zeszyty ćwiczeń powiązane treściowo i merytorycznie z elementarzami.","Pedagogika. Oświata i szkolnictwo, Dydaktyka. Nauczanie. Edukacja, Nauczanie początkowe. Gry edukacyjne. Kształcenie zintegrowane, Podręczniki szkolne, Podręczniki do edukacji przedszkolnej. Książeczki edukacyjne"
/pl/montessori_elementarz_trzylatka-9788382406245,książka / book,Książki i czasopisma / Books and periodicals,Zuzanna Osuchowska,Montessori Elementarz trzylatka,,polski,Zielona Sowa,2022,Miękka,20.0x28.8,32,"0,194 kg",05.07.2022,9788382406245 (9788382406245),9788382406245,/img/product_images_new/767/652767_01_montessori_elementarz_trzylatka.300.jpg,"Baw się wspólnie z dzieckiem i pomóż mu zdobywać wiedzę! Koniecznie sięgnijcie po elementarze z serii Montessori! „Montessori” to cykl przeznaczony dla dzieci w wieku przedszkolnym, przygotowany w duchu pedagogiki Montessori. Treść elementarzy została opracowana na podstawie długoletnich doświadczeń autorki zdobytych w pracy dydaktyczno-wychowawczej. W każdej książce znajduje się wiele różnorodnych zadań, które .: rozwijają spostrzegawczość i logiczne myślenie, ćwiczą umiejętność formułowania myśli, wzbogacają słownictwo, umożliwiają poznawanie świata. Układ książki wymaga, by dziecku towarzyszyła osoba dorosła, która odczytuje polecenia, wyjaśnia sposób wykonania zadań, służy pomocą, zachęca do ukończenia pracy. Dziecko staje się współtwórcą książki, a to stwarza doskonałą okazję do licznych rozmów, wypowiadania się na temat wykonywanych ćwiczeń, oceny pracy, dzielenia się własnymi spostrzeżeniami. Do elementarzy dołączone są naklejki oraz dwie karty z elementami do wycinania. Seria zawiera także zeszyty ćwiczeń powiązane treściowo i merytorycznie z elementarzami.","Pedagogika. Oświata i szkolnictwo, Dydaktyka. Nauczanie. Edukacja, Nauczanie początkowe. Gry edukacyjne. Kształcenie zintegrowane, Podręczniki szkolne, Podręczniki do edukacji przedszkolnej. Książeczki edukacyjne"
/pl/jadalne_ziola_i_owoce_lasow-_lak_i_pol_-_jak_je_ro-9788324183937,książka / book,Książki i czasopisma / Books and periodicals,Rudi Beiser,"Jadalne zioła i owoce lasów, łąk i pól - jak je rozpoznawać",,polski,Amber,2024,Miękka ze skrzydełkami,13.0x19.0,176,"0,295 kg",22.07.2024,9788324183937 (9788324183937),9788324183937,/img/product_images_new/508/890508_01_jadalne_ziola_i_owoce_lasow-_lak_i_pol_-_jak_je_rozpoznawac.300.jpg,"JEDYNY TAKI PRZEWODNIK — KIESZONKOWY FORMAT, WIEDZA JAK Z ENCYKLOPEDII! Kod kolorów ułatwi ci rozpoznawanie. Odkryj pasję zbierania dzikich ziół i owoców! Nigdy rozpoznawanie dzikich ziół i owoców nie było tak łatwe, a zbieranie tak przyjemne, m.in. dzięki podziałowi według miejsc występowania oznaczonych kodem kolorów. Lebiodka świetnie czuje się na suchych łąkach, smaczną pokrzywę można znaleźć w lesie, kwiaty maku polnego należy zbierać przed południem, czosnek niedźwiedzi łatwo pomylić z jego trującym sobowtórem – konwalią... 140 gatunków jadalnych dzikich ziół i owoców oraz ich trujących sobowtórów — według typowych miejsc ich występowania: w lesie, na łące, nad wodą, na polu, na drzewach i krzewach. — według pory zbiorów: wiosna, wczesne lato, lato i jesień. Nowatorska forma i maksimum treści: — Opis gatunku, jego występowanie, zastosowanie i ostrzeżenia — Ponad 200 zdjęć i 206 rysunków — Rady jak rozpoznawać i zbierać rośliny — Przepisy kulinarne","Poradniki, Technika, Rolnictwo. Gospodarstwo rolne. Leśnictwo, Uprawa roślin. Ogrodnictwo. Warzywnictwo. Sadownictwo"
/pl/mindfulness_zyj_tu_i_teraz_praktyka_uwaznosci_dla_-9788324184019,książka / book,Książki i czasopisma / Books and periodicals,Gill Hasson,Mindfulness: żyj tu i teraz. Praktyka uważności dla każdego (bez medytacji),Mindfulness Be mindful,polski,Amber,2024,Miękka,13.5x20.5,240,"0,05 kg",22.08.2024,9788324184019 (9788324184019),9788324184019,/img/product_images_new/639/896639_01_mindfulness_zyj_tu_i_teraz_praktyka_uwaznosci_dla_kazdego_bez_medytacji.300.jpg,"Ta książka pomoże wszystkim, którzy nie mają czasu, a chcą czerpać radość z życia. Uważność nie jest modą, choć tak o niej głośno na świecie. Nie jest religią, choć daje nadzieję. Nie jest filozofią, choć pokazuje drogę świadomego i spokojnego życia. Jest sposobem życia. Zbyt często życie biegnie zbyt szybko obok ciebie. Nie doświadczasz go w pełni, bo pochłaniają cię myśli o tym, co musisz zrobić jutro albo rozpraszają zdarzenia z wczoraj. Twój umysł wiecznie komentuje i osądza. Zatrzymaj się, zacznij żyć. Ta przystępna i przekonująca książka ci w tym pomoże. Uważność (mindfulness) pozwoli ci doświadczyć życia w chwili, gdy ono trwa, zamiast przez nie pędzić. Dostrzeżesz nowe perspektywy i nowe sposoby postępowania. Zapanujesz nad stresem i lękami. Dzięki wskazówkom Gill Hasson nauczysz się jak: • stosować pozytywne wzorce myślenia i zachowania • zyskać spokój i pewność siebie • uwolnić się od złych myśli i schematów myślowych • wprowadzić pozytywne zmiany w relacjach z ludźmi • wznieść się na nowy poziom samoświadomości Nauczysz się żyć naprawdę! GILL HASSON od ponad 30 lat prowadzi treningi uważności dla osób z różnych środowisk i w różnych sytuacjach życiowych. Wierzy w pozytywne zmiany sposobu myślenia o życiu, innych ludziach i o sobie. Jest wykładowczynią University of Sussex, prowadzi szkolenia w QA, jednej z największych w Wielkiej Brytanii firm zajmujących się treningami interpersonalnymi i rozwojem osobistym. Pracuje również dla Mumsnet, największego brytyjskiego portalu dla rodziców. Jest autorką kilku bestsellerowych książek.","Psychologiczna, Poradniki"
/pl/max_einstein_ratuje_przyszlosc-9788367176033,książka / book,Książki i czasopisma / Books and periodicals,"James Patterson , Chris Grabenstein",Max Einstein ratuje przyszłość,,polski,Zygzaki,2022,Miękka ze skrzydełkami,14.0x20.5,336,"0,35 kg",15.06.2022,9788367176033 (9788367176033),9788367176033,/img/product_images_new/648/691648_01_max_einstein_ratuje_przyszlosc.300.jpg,"Max Einstein nie jest typową dwunastolatką. Bierze udział w tajnych misjach, wymyśla genialne wynalazki i rozmawia z Albertem Einsteinem. Choć Max i jej przyjaciele z Centrum Mądrych Inicjatyw potrafią znaleźć rozwiązanie dla najtrudniejszych problemów, tym razem czeka na nich prawdziwe wyzwanie. Czy młodym geniuszom uda się z sukcesem zakończyć kolejną misję i sprawić, by już nigdy żadne dziecko nie cierpiało głodu? Na drodze staje im jak zwykle chciwa Korporacja, która chce przejąć władzę nad światem. Inteligentne drony, niebezpieczne zasadzki i podróże w czasie – Korporacja nie cofnie się przed niczym, by osiągnąć swój cel. Ale to jeszcze nie koniec! Max również próbuje zbudować wehikuł czasu, by dowiedzieć się, kim byli jej rodzice i dlaczego opuścili ją, gdy była małym dzieckiem. Przeszłość dziewczynki i przyszłość Centrum Mądrych Inicjatyw łączą się w historię, od której nie można się oderwać! To pierwsza i jedyna seria książek przygodowych autoryzowana przez Archiwum Alberta Einsteina.","Dla dzieci i młodzieży, Literatura dla dzieci zagraniczna, Literatura dla dzieci zagraniczna (7-13 lat), Przygodowa, Dla dzieci i młodzieży, Dzieci od 7 do 13"
/pl/cien_bogow_trylogia_o_krwiozaprzysiezonych_tom_1-9788367949453,książka / book,Książki i czasopisma / Books and periodicals,John Gwynne,Cień bogów. Trylogia o Krwiozaprzysiężonych. Tom 1,,polski,FABRYKA SŁÓW,2024,Zintegrowana,21.0x14.0,576,"0,54 kg",,9788367949453 (9788367949453),9788367949453,/img/product_images_new/425/900425_01_cien_bogow_trylogia_o_krwiozaprzysiezonych_tom_1.300.jpg,"Życie w cieniu martwych bogów nie jest łatwe. W świecie zniszczonym przez boski gniew i zazdrość, musisz mieć wiele, aby przetrwać. A żeby się rozwijać? Cóż, potrzebujesz znacznie więcej. Woli zwycięstwa. Umiejętności zabijania i unikania śmierci. A także oddziału niebezpiecznych i lojalnych przyjaciół, abyś nigdy nie musiał mierzyć się z krwawym chaosem życia sam. Urodziłam się dla zgiełku bitwy i muru tarcz. Zbuduję własną reputację, kocham to, nie oddam się niczemu innemu. Elvara Mężczyźni umierają, kobiety umierają, wszystkie istoty z krwi i kości umierają, ale sława bitewna przetrwa. Tego chcę, tego chcemy wszyscy. Varg Mój synu, jeśli tu jesteś, znajdę cię. A każdy, kto stanie mi na drodze, będzie żałował, że to zrobił. Orka Bardziej epickiej historii raczej nie przeczytacie!","Fantastyka, Fantasy, Powieść zagraniczna"
/pl/bursztynowy_miecz-9788383353715,książka / book,Książki i czasopisma / Books and periodicals,Marta Mrozińska,Bursztynowy miecz,,polski,Zysk i S-ka,2024,Twarda,14.0x20.5,448,"0,52 kg",24.09.2024,9788383353715 (9788383353715),9788383353715,/img/product_images_new/192/905192_01_bursztynowy_miecz.300.jpg,"Kontynuacja bestselerowej powieści fantasy Jeleni sztylet  Główna bohaterka - Bora – oskarżona o zdradę i skazana na śmierć, zostaje odratowana. Miasto nad Morzem staje się dla niej ratunkiem i więzieniem. Większość ziem Awandii pozostaje pod okupacją, a wrogie wojska stają na granicy puszczy. Stary Lud nie złożył broni. Pozbawiona przyjaciół, zdradzona i poraniona Bora, jednocześnie musi zmierzyć się z zupełnie innymi wyzwaniami. Plany wobec niej ma młody król, ma też jej babka pragnąca za wszelką cenę władzy i wpływów, która nieoczekiwanie wkracza do jej życia.  Gdzie szukać sojuszników i jak wyrwać się na wolność, by wypełnić misję, którą otrzymała od Starego Ludu? Zaufanie przychodziło jej zawsze z największym trudem, a enigmatyczne wskazówki Doli napawają dziewczynę coraz większym niepokojem. W pradawnym obrzędzie przywołania deszczu Bora udowadnia swoje dziedzictwo i ratuje Awandię od suszy. Wszyscy chcą użyć mocy Bory. Dostaje misję dotarcia do kopalń na północy, która ma przynieść ratunek okupowanemu przez Waregów królestwu. W trakcie tej arcyniebezpiecznej wyprawy dołączą do niej nieoczekiwani sojusznicy. Czy może im zaufać? I komu będzie służyć?","Powieść polska, Fantastyka, Fantasy"
