Link,Rodzaj (nośnik),Dział,Autor,Tytuł,Tytuł originału,Język,Wydawca,Rok wydania,Rodzaj oprawy,Wymiary,Liczba stron,Ciężar,Wydano,ISBN,EAN/UPC,Image,Description,Kategoria
/pl/jadlonomia_kuchnia_roslinna__100_przepisow_nie_tyl-9788363696351,książka / book,Książki i czasopisma / Books and periodicals,Marta Dymek,Jadłonomia Kuchnia roślinna – 100 przepisów nie tylko dla wegan,,polski,Dwie Siostry,2020,Twarda,17.0x21.5,282,"0,714 kg",12.04.2017,9788363696351 (9788363696351),9788363696351,/img/product_images_new/397/321397_01_jadlonomia.300.jpg,"Pierwsza książka kucharska twórczyni „Jadłonomii” – najpopularniejszego polskiego bloga o kuchni roślinnej. Czy łodyga brokułu nadaje się do jedzenia? Do czego wykorzystać natkę marchewki? Jak zrobić bezmięsny pasztet na świąteczny stół? Odpowiedź na te i wiele innych pytań znajdziecie w długo wyczekiwanej książce Marty Dymek  – znanej z programu „Dzień Dobry TVN” autorki „Jadłonomii”, najpopularniejszego bloga w polskim internecie poświęconego kuchni roślinnej, Kulinarnego Bloga Roku 2013. Autorka skomponowała ponad 100 przepisów na wegańskie śniadania, obiady i kolacje z bulw, korzeni i liści. Tu burak zmienia się w ciasto czekoladowe, pietruszka występuje w parze z gruszką, a z garści kapusty powstają chrupiące chipsy. Pozycja obowiązkowa dla wszystkich jaroszy i tych, którzy do tej pory nie wyobrażali sobie bezmięsnego obiadu. Informacja dotycząca wprowadzenia produktu do obrotu: Ten produkt został wprowadzony na rynek przed 13 grudnia 2024 r. zgodnie z obowiązującymi wówczas przepisami (Dyrektywą o ogólnym bezpieczeństwie produktów). W związku z tym może on być nadal sprzedawany bez konieczności dostosowania do nowych wymogów wynikających z Rozporządzenia o Ogólnym Bezpieczeństwie Produktów (GPSR). Produkt zachowuje pełną legalność w obrocie, a jego jakość i bezpieczeństwo pozostają zgodne z obowiązującymi wcześniej standardami. Information regarding product placement on the market: This product was placed on the market before December 13, 2024, in accordance with the applicable regulations at the time (the General Product Safety Directive). As a result, it can continue to be sold without needing to meet the new requirements introduced by the General Product Safety Regulation (GPSR). The product remains fully compliant with all previously valid legal standards, ensuring its continued quality and safety.","Książki kucharskie i diety, Poradniki"
/pl/central_park-9788378853848,książka / book,Książki i czasopisma / Books and periodicals,Guillaume Musso,Central Park,,francuski,ALBATROS,2015,Miękka ze skrzydełkami,14.0x20.5,352,"0,445 kg",12.08.2015,9788378853848 (9788378853848),9788378853848,/img/product_images_new/591/209591_01_central_park.300.jpg,"Najnowsza powieść mistrza thrillera i jednego z najpoczytniejszych pisarzy w historii literatury francuskiej. 8 rano. Alice i Gabriel budzą się na ławce w Central Parku skuci ze sobą kajdankami. Nie znają się i nie pamiętają, żeby się kiedykolwiek spotkali. Poprzedniej nocy Alice bawiła się z przyjaciółkami na Polach Elizejskich, a Gabriel grał na pianinie w dublińskim klubie. Niemożliwe? A jednak… Jak wplątali się w tę niebezpieczną historię? Plamy czyjej krwi znajdują się na koszulce Alice? Dlaczego w jej broni brakuje jednego pocisku?",
/pl/dziewczyna_z_brooklynu-9788365781338,książka / book,Książki i czasopisma / Books and periodicals,Guillaume Musso,Dziewczyna z Brooklynu,La fille de Brooklyn,francuski,Albatros,2017,Miękka ze skrzydełkami,14.5x20.5,368,"0,464 kg",,9788365781338 (9788365781338),9788365781338,/img/product_images_new/811/326811_01_dziewczyna_z_brooklynu.300.jpg,"Guillaume Musso, który od lat utrzymuje się na pierwszym miejscu listy najpopularniejszych francuskich pisarzy, słusznie nazywany jest mistrzem suspensu! Doskonale pamiętam ten moment: stoimy nad brzegiem morza, patrząc, jak zachodzące słońce rozświetla horyzont. Wtedy Anna zapytała: „Czy wciąż byś mnie kochał, gdybym zrobiła coś naprawdę złego?“. Co mogłem odpowiedzieć? Anna była kobietą mojego życia. Za trzy miesiące mieliśmy się pobrać. Oczywiście, że ją kochałem, niezależnie od tego, co zrobiła. Tak przynajmniej myślałem, gdy ona gorączkowo szperała w torebce i wręczała mi zdjęcie, mówiąc: „Oto, co zrobiłam“. Patrzyłem oszołomiony na jej sekret i wiedziałem, że nasz los odmienił się bezpowrotnie. Zszokowany, odszedłem bez słowa. Kiedy wróciłem, było już za późno – Anna zniknęła. Od tamtej chwili wciąż jej szukam. Informacja dotycząca wprowadzenia produktu do obrotu: Ten produkt został wprowadzony na rynek przed 13 grudnia 2024 r. zgodnie z obowiązującymi wówczas przepisami (Dyrektywą o ogólnym bezpieczeństwie produktów). W związku z tym może on być nadal sprzedawany bez konieczności dostosowania do nowych wymogów wynikających z Rozporządzenia o Ogólnym Bezpieczeństwie Produktów (GPSR). Produkt zachowuje pełną legalność w obrocie, a jego jakość i bezpieczeństwo pozostają zgodne z obowiązującymi wcześniej standardami. Information regarding product placement on the market: This product was placed on the market before December 13, 2024, in accordance with the applicable regulations at the time (the General Product Safety Directive). As a result, it can continue to be sold without needing to meet the new requirements introduced by the General Product Safety Regulation (GPSR). The product remains fully compliant with all previously valid legal standards, ensuring its continued quality and safety.",
/pl/potem-9788376590158,książka / book,,Guillaume Musso,Potem,ET APRES...,francuski,Albatros,2009,Miękka ze skrzydełkami,12.2x19.5,304,"0,32 kg",,9788376590158 (9788376590158),9788376590158,/img/product_images_new/648/89648_01_potem.300.jpg,"Nowojorski adwokat Nathan Del Amiro robi karierę kosztem zaniedbywanej rodziny. Jego żona, Mallory, decydeje się odejść, choć wciąż go kocha. Pewnego razu w kancelarii Nathana zjawia się Garrett Goodrich, chirurg, ordynator oddziału opieki paliatywnej, opiekun ludzi beznadziejnie chorych. Posiada on szczególny dar - dostrzega świetlistą aureolę nad osobami, które mają rychło zejść z tego świata. Goodrich w sposób zawoalowany mówi Nathanowi, że i on wkrótce umrze. Od tej pory Nathan inaczej patrzy na świat, zdaje sobie sprawę, że zawiódł ukochaną żonę. Stara się ułożyć stosunki z Mallory i córką, bierze na siebie winę za wypadek, którego nie spowodował. Ścigając się z czasem, nie od razu pojmuje, że jego przeznaczeniem jest zostać Posłańcem...",
/pl/uratuj_mnie-9788373594630,książka / book,Książki i czasopisma / Books and periodicals,Guillaume Musso,Uratuj mnie,SAUVE-MOI,francuski,Albatros,2007,Miękka ze skrzydełkami,12.2x19.4,368,"0,375 kg",,9788373594630 (9788373594630),9788373594630,/img/product_images_new/612/178612_01_uratuj_mnie.300.jpg,"Nie wyznając sobie swoich uczuć, para zakochanych żegna się na lotnisku. Samolot, do którego wsiada dziewczyna rozbija się krótko po starcie. Ale to jeszcze nie koniec... Czy miłość okaże się silniejsza od śmierci""",
/pl/bedziesz_tam-9788373596825,książka / book,Książki i czasopisma / Books and periodicals,Guillaume Musso,Będziesz tam?,Seras tu la?,francuski,Albatros,2014,Miękka ze skrzydełkami,13.0x20.0,318,"0,329 kg",,9788373596825 (9788373596825),9788373596825,/img/product_images_new/993/62993_01_bedziesz_tam.300.jpg,"Trzecia powieść niezwykle popularnego we Francji pisarza, autora bestsellerów Potem... oraz Uratuj mnie, którego firmowym znakiem jest nieposkromiona fantazja i ogromna wrażliwość. Elliott, uznany chirurg, ma sześćdziesiąt lat i niedługo umrze. Śmiertelna choroba nie daje mu nadziei na przyszłość. Największą radością jego życia jest dorosła już córka, Angie, a największym pragnieniem, raz jeszcze ujrzeć ukochaną kobietę - zmarłą w tragicznych okolicznościach przed trzydziestoma laty Ilenę. Podczas jednej z misji humanitarnych w Kambodży, po operacji małego chłopca, Elliott otrzymuje od jego dziadka dziwny flakonik z trzema złotymi pigułkami, dzięki którym będzie ponoć mógł spełnić swoje największe marzenie. Gdy zażywa pierwszą z ampułek jego świat ulega całkowitej przemianie - może podróżować w czasie, po raz kolejny przeżywa swoją młodość... Czy uda mu się ocalić przed śmiercią ukochaną kobietę?","Psychologiczna, Powieść zagraniczna, Społeczno-obyczajowa"
/pl/poniewaz_cie_kocham-9788373598508,książka / book,Książki i czasopisma / Books and periodicals,Guillaume Musso,Ponieważ Cię kocham,PARCE QUE JE T'AIME,francuski,Albatros,2012,Miękka ze skrzydełkami,12.3x19.5,304,"0,32 kg",,9788373598508 (9788373598508),9788373598508,/img/product_images_new/098/63098_01_poniewaz_cie_kocham.300.jpg,"W centrum handlowym, wskutek nieuwagi opiekunki, znika bez śladu pięcioletnia Layla. Nikt nie żąda okupu, a prowadzone przez policję poszukiwania okazują się bezowocne. Załamani tragedią rodzice, szanowany psycholog i znakomita skrzypaczka, obwiniają się wzajemnie i rozstają. Mark dosłownie ląduje na ulicy, zaś jego żona Nicole rzuca się w wir pracy. Pięć lat później ścieżki obojga małżonków ponownie się krzyżują. Mark ratuje życie wracającej po koncercie do domu żonie, zaatakowanej przez bandytę z nożem. Niedługo potem Layla pojawia się dokładnie w tym samym miejscu, w którym zniknęła. Co działo się z dziewczynką przez pięć lat? Zaskakujący powrót córki to nie jedyna niespodzianka, jaką los zgotował bohaterom...",
/pl/kim_bylbym_bez_ciebie-9788376593753,książka / book,Książki i czasopisma / Books and periodicals,Guillaume Musso,Kim byłbym bez ciebie,,polski,Albatros,2011,Miękka ze skrzydełkami,14.5x20.5,360,"0,448 kg",,9788376593753 (9788376593753),9788376593753,/img/product_images_new/901/89901_01_kim_bylbym_bez_ciebie.300.jpg,"Kolejna znakomita powieść Guillaume Musso, autora niezapomnianego ""Potem"", romantyczny kryminał, w którym świat rzeczywisty miesza się z fantazją, a przestępstw dokonuje się z wdziękiem i w białych rękawiczkach. W życiu Gabrielle najważniejsi są dwaj mężczyźni - ojciec i ukochany. Jeden z nich jest złodziejem, drugi policjantem. Ojciec dziewczyny, Archibald, to przestępca starej daty - okrzyknięty najprzebieglejszym przestępcą wszech czasów, oczytany erudyta, który z niewymuszonym urokiem kradnie największe dzieła sztuki. Martin Beaumont zawodowo zajmuje się ściganiem ludzi pokroju Archibalda. Młody, obdarzony fantastyczny temperamentem, staje właśnie przed życiową szansą - pojmaniem legendarnego złodzieja. Żaden z nich nie wie, kim jest ten drugi.",
/pl/zamien_chemie_na_jedzenie-9788324020454,książka / book,Książki i czasopisma / Books and periodicals,Julita Bator,Zamień chemię na jedzenie,,polski,Znak,2020,Miękka,14.0x20.5,286,"0,34 kg",28.08.2013,9788324020454 (9788324020454),9788324020454,/img/product_images_new/803/142803_01_zamien_chemie_na_jedzenie.300.jpg,"Książka, która nie zawiera chemii ani polepszaczy smaku! Co to znaczy zdrowo się odżywiać? Zacznij od unikania chemicznych dodatków. Nie tylko nie są potrzebne, one szkodzą! Jednego czekoladowego batona można przegryźć bez obaw, ale rozmaite barwniki, słodziki, wzmacniacze smaku i aromaty zjedzone także w płatkach śniadaniowych, w domowej(!) zupie czy lodach sumują się. I rujnują twoje zdrowie. Są przyczyną alergii, niestrawności, złego samopoczucia, a być może także zespołu ADHD. Niewiele przeprowadzono rzetelnych badań dotyczących sztucznych dodatków do żywności. Julita Bator weryfikuje dane od producentów. Ponieważ dzieci autorki wykazują silną alergię na „polepszacze” i konserwanty musiała zmienić styl odżywiania się i życia całej rodziny. Od czterech lat próbuje, nie wydając dużych sum na kupowanie wyłącznie ekologicznych produktów, żyć bez „chemii”. Jej książka może być dla nas przewodnikiem po kuchni, która pachnie tak, jak jedzenie pamiętane z naszego dzieciństwa. W dwudziestu rozdziałach udziela porad, jak unikać szkodliwej żywności, ale także jakie naczynia stosować w kuchni, jak przemycać wartościowe produkty w potrawach. Podaje 81 przepisów, które przywracają polskiej kuchni dawną, utraconą przed laty świetność.","Poradniki, Zdrowie i uroda"
/pl/fatalna_lista-9788372296344,książka / book,Książki i czasopisma / Books and periodicals,Siobhan Vivian,Fatalna lista,,polski,Feeria,2020,Miękka,14.5x20.5,408,"0,378 kg",,9788372296344 (9788372296344),9788372296344,/img/product_images_new/393/314393_01_fatalna_lista.300.jpg,"Piękno i brzydota nie zawsze są kwestią wyglądu. Wyobraź sobie, że gdy przychodzisz do szkoły, oczy wszystkich są wbite w jeden punkt. W listę. Czy znajdziesz na niej swoje nazwisko? A jeśli tak, to w której kategorii? Co roku ktoś - nie wiadomo, kto - wybiera dwie dziewczyny z każdego rocznika. Jedna zostaje okrzyknięta najpiękniejszą, druga - najbrzydszą. O tych spoza listy natychmiast się zapomina. Wybrane nagle znajdują się w centrum uwagi całej szkoły. Na liście są nazwiska ośmiu dziewcząt. W świecie po liście ich życie już nigdy nie będzie takie samo.","Dla dzieci i młodzieży, Literatura dla młodzieży"
