Link,Rodzaj (nośnik),Dział,Autor,Tytuł,Tytuł originału,Język,Wydawca,Rok wydania,Rodzaj oprawy,Wymiary,Liczba stron,Ciężar,Wydano,ISBN,EAN/UPC,Image,Description,Kategoria
/en/jutro-9788378859796,książka / book,Książki i czasopisma / Books and periodicals,Guillaume Musso,Jutro,DEMAIN,angielski,ALBATROS,2016,Miękka ze skrzydełkami,14.0x20.5,400,0.51 kg,13/08/2014,9788378859796 (9788378859796),9788378859796,/img/product_images_new/403/172403_01_jutro.300.jpg,"Emma mieszka w Nowym Jorku. Ma 32 lata i ciągle szuka tego właściwego mężczyzny. Matthew mieszka w Bostonie. Odkąd jego żona zginęła w wypadku, samotnie wychowuje czteroletnią córeczkę. Korespondencyjna znajomość rodzi potrzebę spotkania. Tego samego dnia, w tym samym czasie, otwierają drzwi restauracji… Ich drogi jednak się nie krzyżują. Gra kłamstw? Żart wyobraźni? Manipulacja? Musso ujawnia swoje mistrzostwo w kreowaniu atmosfery tajemnicy Paris Match",Society and customs
/en/gdanskie_dwory_i_palace-9788375280487,książka / book,Książki i czasopisma / Books and periodicals,Jerzy Samp,Gdańskie dwory i pałace,,,Marpress,2009,Twarda,21.0x25.0,157,0.50 kg,,9788375280487 (9788375280487),9788375280487,/img/product_images_new/822/391822_01_gdanskie_dwory_i_palace.300.jpg,"Autor profesor Uniwersytetu Gdańskiego kierujący Zakładem Pomorzoznawstwa poświęcił książkę budowlom, bez których nie sposób wyobrazić sobie pejzażu Gdańska i okolic. Interesują go zarówno dwory wznoszone w średniowieczu przez działające wówczas bractwa i korporacje cechowe, jak i rezydencje podmiejskie należące do gdańskich patrycjuszy, kupców, a także uczonych. Każdemu z ponad pięćdziesięciu opisanych w monografii obiektów przygląda się autor bardzo uważnie. W oparciu o zachowane dokumenty archiwalne, opracowania naukowe, relacje a nawet teksty literackie autor tworzy jedyną w swoim rodzaju opowieść o czasach i okolicznościach powstania tych budowli, o ich zmieniających się w ciagu stuleci właścicielach, o walorach artystycznych owych dworsko-ogrodowych założeń, najcenniejszych elementach artystycznego wyposażenia. Nie brak wiadomości częstokroć nigdy dotąd nie publikowanych. Tekst zawiera anegdoty i ciekawostki. Monografia jest bardzo bogato ilustrowana.","Art and photography, Architecture"
/en/telefon_o_polnocy-9788327612564,książka / book,Książki i czasopisma / Books and periodicals,Tess Gerritsen,Telefon o północy,Call After Midnight,angielski,Harlequin,2015,Miękka,12.5x20.0,256,0.24 kg,04/03/2015,9788327612564 (9788327612564),9788327612564,/img/product_images_new/844/198844_01_telefon_o_polnocy.300.jpg,"Niespodziewany telefon przerywa spokojny sen Sarah. Jest pewna, że usłyszy ciepły głos swojego męża Geoffreya, który pracuje w jednym z londyńskich banków. Ku jej przerażeniu pracownik Departamentu Stanu, Nick O’Hara, informuje ją o śmierci męża w pożarze hotelu w Berlinie. Zaszokowana Sarah nie wierzy w śmierć Geoffreya i rozpoczyna własne śledztwo. Widząc jej determinację, Nick, początkowo przeciwny pomysłowi, zgadza się pomóc. Krok po kroku wkraczają w sam środek międzynarodowego spisku szpiegowskiego, w który zamieszani są wysoko postawieni politycy, agenci CIA i Mossadu. Przemierzając kolejne europejskie miasta, Sarah odkrywa, że jej mąż nie był tym, za kogo się podawał, a jej życie jest w śmiertelnym niebezpieczeństwie.",
/en/droga_66-9788324149872,książka / book,Książki i czasopisma / Books and periodicals,Becky Masterman,Droga 66,,polski,AMBER,2014,Miękka ze skrzydełkami,13.0x20.5,352,0.31 kg,03/04/2014,9788324149872 (9788324149872),9788324149872,/img/product_images_new/352/161352_01_droga_66.300.jpg,"Finalistka CWA Gold Dagger 2013 – najważniejszej nagrody dla powieści kryminalnej Nominacja do Edgar Award 2014 Ten wyjątkowy kryminał zaczyna się pozornie klasyczną sceną. Jest morderca. Jest potencjalna ofi ara – drobna starsza kobieta. Ale morderca nie wie, że kobieta ma za sobą czterdzieści lat nieustannego treningu w zabijaniu… „New York Times” Najlepsza agentka FBI od czasów Clarice Starling i jedna z najlepszych powieści gatunku od czasów Milczenia owiec. „Publishers Weekly” „Nikt nie chce czytać o bohaterce, która ma więcej niż trzydziestkę” – usłyszałam, kiedy wysłałam swój maszynopis pierwszemu wydawcy – mówi Becky Masterman. – Ale kilka lat później coś się zmieniło. Może sprawił to Oscar dla Helen Mirren? Nagle dojrzałe kobiety stały się modne. Spróbowałam znowu. Tym razem usłyszałam: „Takiej postaci szukaliśmy od lat”. Ta postać to Brigid Quinn, agentka specjalna FBI przez całe życie tropiąca seksualnych przestępców. Dopiero teraz, po odejściu z Biura, odkryła prywatne szczęście i usiłuje znaleźć swoje miejsce w świecie „cywilów”, który przez tyle lat chroniła dla innych. I stara się, żeby ten świat nigdy się nie dowiedział, że ona potrafi uśmiercić człowieka gołymi rękami… Czasami żałowałam, że byłam w życiu aż tyloma kobietami. Było ich tak wiele: córka, siostra, glina, równa babka, kilka rodzajów dziwek, porzucona kochanka, idealna żona, bohaterka, zabójczyni. Powiem prawdę o nich wszystkich, o ile jestem w stanie mówić prawdę. Brigid Quinn ma wspomnienia, których wolałaby nie mieć, i zabójcze umiejętności, których wolałaby już nigdy nie potrzebować. Widziała i robiła rzeczy, które wymazała z pamięci. Poza jedną….Morderca z Drogi 66 zabił sześć kobiet. Porywał je z szosy, a potem pozostawiał ciała na spalonych słońcem pustkowiach Arizony. Poza jednym. Ciała Jessiki, młodej podwładnej Brigid, nigdy nie odnaleziono. A Brigid nigdy nie zapomniała, że to ona wysłała Jessikę na Drogę 66… Trzynaście lat później ta nierozwiązana sprawa znowu wdziera się w życie Brigid. Życie spokojne, ułożone na nowo u boku kochającego męża, profesora fi lozofi i i byłego pastora. Męża, który nic nie wie o jej przeszłości. Brigid widzi szansę, by wreszcie schwytać mordercę Jessiki. I uratować życie następnej agentki. Ale może stracić to, co stało się dla niej najcenniejsze – miłość męża. Bo będzie musiała złamać nie tylko prawo…",
/en/ostatni_na_liscie-9788324149100,książka / book,Książki i czasopisma / Books and periodicals,Neil White,Ostatni na liście,,polski,AMBER,2014,Kartonowa Foliowana,13.2x20.0,384,0.33 kg,28/01/2014,9788324149100 (9788324149100),9788324149100,/img/product_images_new/667/154667_01_ostatni_na_liscie.300.jpg,"Prawnik i policjant, bracia i rywale, muszą spojrzeć w twarz demonom przeszłości i wybrać pomiędzy sprawiedliwością a rodziną Brutalna autentyczność bije z każdej strony – wręcz czujemy zapach więziennej celi, fałsz sądowych potyczek, emocje towarzyszące śledztwu. To wszystko buduje atmosferę i napięcie tego hipnotyzującego i niepokojącego kryminału, jakże innego na tle gatunku. „Daily Mail” To kryminał napisany przez zawodowca. Pozwala zajrzeć za kulisy wymiaru prawa, wciąga i wstrząsa. „Bella Magazine” Jeden z bohaterów Ostatniego na liście ściga przestępców, drugi ich broni. Wydaje się, że stoją po przeciwnych stronach prawa - ale u Neila White’a nic nigdy nie jest takie, jak się wydaje. crimereview.co.uk Kapitalna intryga prowadzona z dwóch perspektyw, widziana oczami prawnika i detektywa. Znakomity literacki kryminał, gdziebrat staje przeciwko bratu. „Choice Magazine” Mocny, trzymający w napięciu kryminał, w którym Neil White maluje przekonujący portret prawników i policjantów. eurocrime.co.uk Joe Parker to najbardziej błyskotliwy prawnik w Manchesterze. Sam Parker - najbardziej nieustępliwy detektyw manchesterskiego wydziału zabójstw. Na obu ciąży nierozwikłane morderstwo ich siostry przed piętnastu laty. I obaj są zaangażowani w sprawę seryjnych zabójstw, które teraz wstrząsają miastem... Ronnie Bagley zamordował swoją dziewczynę i dziecko. Czeka w więzieniu na proces. Na dwa tygodnie przed rozprawą żąda nowego adwokata. Twierdzi, że obronić go może tylko Joe Parker. Joe podejmuje się tej sprawy. Nie wie, że jego klient jest bardziej przebiegły, niż się wszystkim wydaje. I że on sam wkrótce stanie do rywalizacji z własnym bratem w sprawie najbardziej przerażającego seryjnego zabójcy, jaki kiedykolwiek działał w Manchestrze. Ani Joe, ani Sam nie przeczuwają, że wspólna przeszłość boleśnie wedrze się do teraźniejszości i doprowadzi obu do szaleńczego wyścigu, w którym stawką jest odpowiedź na pytanie, kto będzie ostatni na liście mordercy…",
/en/urodzona_dla_smierci-9788324147649,książka / book,Książki i czasopisma / Books and periodicals,Lisa Jackson,Urodzona dla śmierci,Born To Die,angielski,AMBER,2013,Miękka,13.0x20.5,352,0.30 kg,25/07/2013,9788324147649 (9788324147649),9788324147649,/img/product_images_new/580/1015580_01_urodzona_dla_smierci.300.jpg,"Autorka bestsellerów numer 1 „New York Timesa” dla miłośniczek Tess Gerritsen Powieści Lisy Jackson to bestsellery światowej klasy. Jej kolejne książki są publikowane w coraz wyższych, milionowych nakładach. Każda trafia na szczyt list bestsellerów „New York Timesa” i coraz dłużej na nich pozostaje. Bestsellery Lisy Jackson są wydawane w 20 krajach i sprzedane w ponad 21 milionach egzemplarzy. Smutny i dziwny zbieg okoliczności… Taka jest pierwsza reakcja doktor Kacey Lamert na wiadomość o śmierci dwóch kobiet, niezwykle do niej podobnych. Bo przecież pomiędzy nią a aktorką filmów klasy B i nauczycielką z podstawówki nie ma żadnego związku. Jednak prowadzące śledztwo policjantki, Selena Alvarez i Regan Pescoli, podejrzewają, że jest inaczej. Wkrótce Kacey dostrzega, że coś ją jednak łączy z zamordowanymi. Były w podobnym wieku. Urodziły się i wychowały w tej samej okolicy. I wszystkie znały mężczyznę, z którym Kacey właśnie zaczęła się spotykać... Im bardziej zagłębia się w te sprawę, tym bardziej zaczyna się bać. Bo odkrywa, że może być następna na liście urodzonych dla śmierci… Lisa Jackson to jedna z największych amerykańskich gwiazd literatury z pierwszych miejsc „New York Timesa”. Jej thrillery (Wyspa kłamstw, Bez litości, Kręte ścieżki, Nie chcesz wiedzieć) przesycone atmosferą strachu trzymają w najwyższym napięciu do ostatniej strony, a ich bohaterki - jak bohaterki Tess Gerritsen – błądzą w labiryncie misternej, niebezpiecznej intrygi. Urodzona dla śmierci, trzecia powieść z bohaterkami Podarowanej śmierci i Doliny strachu, była przez kilka tygodni w Top 5 „New York Timesa”.",Thrillers
/en/projekt_riese-9788381958103,książka / book,Książki i czasopisma / Books and periodicals,Remigiusz Mróz,Projekt Riese,,polski,Filia,2022,Miękka ze skrzydełkami,13.5x20.5,480,0.488 kg,26/01/2022,9788381958103 (9788381958103),9788381958103,/img/product_images_new/689/632689_01_projekt_riese.300.jpg,"NIC NIE JEST OSTATECZNE. NAWET ŚMIERĆ.  Riese. Największy projekt nazistowskich Niemiec, którego przeznaczenie wciąż pozostaje nieznane. Niegdyś być może podziemne miasto, arka przetrwania lub fabryka, w której pracowano nad bronią jądrową – dziś atrakcja turystyczna w Górach Sowich.  Odwiedzić postanawia ją pięcioro ludzi, zupełnie nieświadomych tragedii, która ma ich spotkać. Podczas eksploracji tuneli dochodzi do trzęsienia, a stropy ulegają zawaleniu, odcinając turystów od świata i pozbawiając ich szans na ratunek. Robią wszystko, by przeżyć, powoli uświadamiając sobie, że na powierzchni wydarzyło się coś, co sprawiło, że znany im świat przestał istnieć…  I ŻE TO ONI MOGĄ BYĆ JEDYNYMI, KTÓRZY PRZETRWALI KATAKLIZM.","Powieść polska, Crime and mystery"
,,,,,,,,,,,,,,,,,,
/en/dom_siostr-9788375083354,książka / book,Książki i czasopisma / Books and periodicals,Charlotte Link,Dom sióstr,,niemiecki,Sonia Draga,2011,Miękka ze skrzydełkami,14.5x20.5,640,0.69 kg,,9788375083354 (9788375083354),9788375083354,/img/product_images_new/192/1009192_01_dom_siostr.300.jpg,"Wyjazd na Boże Narodzenie do Yorkshire, krainy wyżynnych torfowisk w północnej Anglii, miał być prezentem urodzinowym i ostatnią próbą uratowania rozpadającego się małżeństwa. Jednak od początku Barbarze i Ralphowi Ambergom nic się nie układa. Już od pierwszej nocy wynajęta przez nich posiadłość Westhill House zostaje odcięta od świata z powodu śnieżycy. Barbara, myszkując po domu, natrafia niespodziewanie na zapiski byłej właścicielki posiadłości, Frances Gray. Ich lektura ożywia niezwykłą historię sprzed pięćdziesięciu lat. Zagłębiając się w aurę miłości, nienawiści, pogardy i tęsknoty za wolnością, Barbara zaczyna poznawać własną duszę i dojrzewa do najważniejszej decyzji. Decyzji, która nie tylko zmieni jej życie, ale będzie zarazem dopełnieniem losu Frances Gray. Doskonały thriller psychologiczny „niemieckiej królowej kryminałów”!",
/en/ciernista_roza-9788375089943,książka / book,Książki i czasopisma / Books and periodicals,Charlotte Link,Ciernista róża,,polski,Sonia Draga,2016,Miękka ze skrzydełkami,14.5x20.5,600,0.61 kg,,9788375089943 (9788375089943),9788375089943,/img/product_images_new/290/168290_01_ciernista_roza.300.jpg,"Karin Palmer, była nauczycielka z Berlina, ogarnięta chęcią zmiany dotychczasowego życia, decyduje się wyjechać na angielską wyspę Guernsey, gdzie przed laty spędziła cudowne wakacje.Na miejscu okazuje się niestety, że pokój, który zarezerwowała, został oddany komu innemu i kobieta nie ma się gdzie podziać. Przez przypadek trafia do uroczego domu z ogrodem pełnym róż, który należy do 71-letniej Beatrice Shaye. Karin ulega urokowi staruszki, jej pięknego ogrodu i eleganckiego, przytulnego domu. Między kobietami szybko nawiązuje się serdeczna przyjaźń mimo dzielącej je różnicy wieku. Ich rozmowy stają się coraz bardziej intymne i szczere. Beatrice powoli zaczyna opowiadać o przeszłości. Nie mówi jednak wszystkiego. Jednak w chwili, gdy policja zacznie znajdować zwłoki kolejnych zamordowanych osób, Beatrice będzie musiała komuś zaufać. Jej wybór pada na Karin…",
