Name;Autor;SKU;OP Barcode;Stock;Cost;Regular Price;Tax class;Tax rate;Wydawnictwo
Wszyscy wiedzieli;Korwin Piotrowska Karolina;9788327719980;9788327719980;1;5.05;10;taxable;zero rate;Mando
Córki Warszawy;Frances Maria;9788383433257;9788383433257;3;5.38;10.6;taxable;zero rate;Harde
POD KOPUŁĄ;King Stephen;9788382952629;9788382952629;3;6.57;12.8;taxable;zero rate;Prószyński Media
Superrobak;Donaldson Julia;9788310135629;9788310135629;3;3.64;8.5;taxable;zero rate;Nasza Księgarnia
Zemsta rodziców;Hurst Daniel;9788383574905;9788383574905;3;5.15;10.2;taxable;zero rate;Filia
Krucyfiks;Carter Chris;9788382307832;9788382307832;1;5.82;11.7;taxable;zero rate;Sonia Draga
Egzekutor;Carter Chris;9788382307849;9788382307849;1;5.82;11.7;taxable;zero rate;Sonia Draga
Historia zwierzaka zza krzaka;Gellner Dorota;9788365479600;9788365479600;3;2.46;4.9;taxable;zero rate;Bajka
Miałeś już nigdy nie wrócić;Ewelina Dobosz;9788383733791;9788383733791;3;4.72;9.6;taxable;zero rate;Amare
Warszawski niebotyk;Paszyńska Maria;9788383579818;9788383579818;3;5.37;10.6;taxable;zero rate;Filia
Wrzenie;Janiszewska Izabela;9788368370034;9788368370034;3;5.29;10.6;taxable;zero rate;Czwarta Strona
Kątnik;Stelar Marek;9788383579979;9788383579979;3;5.15;10.2;taxable;zero rate;Filia
Bławatek;Buraczewska-Świątek Magdalena;9788383949093;9788383949093;1;4.92;9.6;taxable;zero rate;Axis Mundi
Apetyt na więcej;Olejnik Agnieszka;9788384020050;9788384020050;3;5.15;10.2;taxable;zero rate;Filia
Rzeczpospolita kryzysowa. Dwadzieścia lat spac;Krajewski Andrzej;9788383801872;9788383801872;1;6.68;12.8;taxable;zero rate;Agora
Proszę!;Philip Simon;9788368265583;9788368265583;3;4.29;8.5;taxable;zero rate;Marginesy
Jak budować związek, który ładuje baterie? Trz;Rogala Aga;9788368227451;9788368227451;4;5.82;11.7;taxable;zero rate;Mamania
Sztorm;Ohlsson Kristina;9788367709491;9788367709491;3;6.25;12.8;taxable;zero rate;Smak Słowa
O czym szumi ocean;Regin Wiktoria Emilia;9788384020647;9788384020647;3;5.37;10.6;taxable;zero rate;Filia
Czternaście wilków;Barr Catherine;9788310136862;9788310136862;3;4.05;9.6;taxable;zero rate;Nasza Księgarnia
Polska pielęgniarka;Moyes Leah;9788368364255;9788368364255;3;5.37;10.6;taxable;zero rate;Replika
Polskie tajemnice II wojny światowej;Drozdowski Krzysztof;9788367639675;9788367639675;3;5.91;11.7;taxable;zero rate;Replika
Lato pełne tajemnic;Wierzbicka Katarzyna;9788368371185;9788368371185;3;6.01;11.3;taxable;zero rate;Mięta
Sklep dla żab;Gellner Dorota;9788367697163;9788367697163;3;3.22;6.4;taxable;zero rate;Bajka
Każdą cząstką serca;Yarros Rebecca;9788382656657;9788382656657;3;5.33;10.6;taxable;zero rate;Must Read
Rumor;Małecki Robert;9788308085820;9788308085820;3;5.66;10.6;taxable;zero rate;Literackie
Zaklinacz;Betcher Tomasz;9788368371215;9788368371215;3;5.66;10.6;taxable;zero rate;Mięta
W owczej skórze;Cedlerska Paulina;9788384020746;9788384020746;3;3.26;10.2;taxable;zero rate;Filia
Rewers;Widerski Adam;9788383736921;9788383736921;3;5.24;10.6;taxable;zero rate;Novae Res
Ktoś;Ewa Stadtmüller;9788383980010;9788383980010;3;2.03;3.8;taxable;zero rate;Skrzat
Maratończyk;Goldman William;9788368364248;9788368364248;3;6.45;12.7;taxable;zero rate;Replika
Bazyli Koparka i wielkie burzenie;Koźlak Marta;9788383980058;9788383980058;3;2.82;5.3;taxable;zero rate;Skrzat
Bazyli Koparka i akcja strażacka;Marta Koźlak;9788383980065;9788383980065;3;2.82;5.3;taxable;zero rate;Skrzat
Mężczyzna na zakręcie;Adaszewska Magdalena, Masłowsk;9788383911489;9788383911489;3;5.24;10.6;taxable;zero rate;Prószyński Media
CzuCzu Moje puzzle z dziurką Zwierzątka;---;5902983493761;5902983493761;3;2.84;6.4;taxable;Standard;Bright Junior Media
CzuCzu Puzzle Myszka i przyjaciele;---;5902983493792;5902983493792;3;2.84;6.4;taxable;Standard;Bright Junior Media
Co? Jak? Dlaczego? Encyklopedia mądrego dzieci;Opracowanie zbiorowe;9788368436181;9788368436181;3;5.48;9.6;taxable;zero rate;Omnibus
Widunka;Tekieli Joanna;9788384021552;9788384021552;3;5.37;10.6;taxable;zero rate;Filia
Antysemickie chrześcijaństwo;Nowak Artur, Obirek Stanisław;9788383911496;9788383911496;3;5.24;10.6;taxable;zero rate;Prószyński Media
Pamiętnik lokatorki;Moss Marcel;9788384021545;9788384021545;3;5.37;10.6;taxable;zero rate;Filia
Teatr. Rodzina patologiczna;Dzieciuchowicz Iga;9788383802114;9788383802114;1;6.51;12.8;taxable;zero rate;Agora Książka i Muzyka
Dam radę, a jak nie, to się rozjadę;Gargaś Gabriela;9788368381092;9788368381092;3;5.65;11.7;taxable;zero rate;Luna
Więzy krwi. Władza, przywileje i zbrodnie rodz;Glatt John;9788384021743;9788384021743;3;5.34;11.3;taxable;zero rate;Filia
Nie kłam;McFadden Freida;9788368370898;9788368370898;3;4.93;10.6;taxable;zero rate;Czwarta Strona
