"SKU","Name","Attribute 1 name","Attribute 1 value(s)","Attribute 1 global","Attribute 1 visible","Attribute 2 name","Attribute 2 value(s)","Attribute 2 global","Attribute 2 visible","Attribute 3 name","Attribute 3 value(s)","Attribute 3 global","Attribute 3 visible","Attribute 4 name","Attribute 4 value(s)","Attribute 4 global","Attribute 4 visible","Attribute 5 name","Attribute 5 value(s)","Attribute 5 global","Attribute 5 visible","Autor","Wydawnictwo","Op Barcode","Height (cm)","Length (cm)","Width (cm)","Weight","Kod Ean","Liczba Stron","Oprawa","Rok Wydania","Description","Short description","Images","Categories","Stock","In stock?","Wc Cog Cost","Regular Price","Tax Status","Tax Class"
"9788367262217","Zaś słońce wschodzi","Kod EAN","9788367262217","0","1","Tutuł","Zaś słońce wschodzi","0","1","Autor","Ernest Hemingway","0","1","Wydawnictwo","Marginesy","0","1","Tytuł originału","The Sun Also Rises","0","1","Ernest Hemingway","Marginesy","9788367262217","13.5","20.5","0","0.36","9788367262217","296","Twarda","2022","Paryż, lata dwudzieste. Środowisko młodych amerykańskich artystów, którzy po wojnie przebywają w Europie. Czas spędzają na rozmowach, romansach i odwiedzaniu kolejnych barów. Postanawiają także wybrać się do Pampeluny, aby obejrzeć walki byków podczas lokalnej fiesty. Ta sielanka i pozorna beztroska podszyta jest jednak rozgoryczeniem i pesymizmem. W powściągliwym stylu i wartkich dialogach Hemingway oddaje klimat tamtych czasów i nastroje panujące wśród jego rówieśników – przedstawicieli „straconego pokolenia”, nad którego dojrzewaniem zaciążyły wojenne tragedie. Słońce zaś wschodzi to pierwsza powieść Ernesta Hemingwaya. Wydana w 1926 roku, wywołała sensację towarzyską i mimo rozbieżnych opinii krytyków cieszyła się dużą popularnością. Czytano ją jako powieść z kluczem, portretującą Amerykanów przebywających wówczas w Paryżu, a w postaci Jake’a Barnesa dopatrzono się autoportretu pisarza, nieżałującego swoim rywalom osobistych złośliwości. Za sprawą powieści wyjazdy do Francji i Hiszpanii stały się modne wśród zamożnych amerykańskich studentów, a młode czytelniczki stylizowały się na główną bohaterkę Brett Ashley, którą uznano za wzór kobiety niezależnej i wyzwolonej. Obecnie Słońce zaś wschodzi uważa się za jedno z najważniejszych dzieł Hemingwaya, a nowatorski styl utworu stał się inspiracją dla wielu późniejszych pisarzy. Ernest Hemingway (1899–1961) – amerykański pisarz i reporter. W 1918 roku zgłosił się na ochotnika do oddziałów Czerwonego Krzyża we Francji, został ranny podczas walk we Włoszech. Po powrocie do Stanów rozpoczął pracę dla „Toronto Star”. Wtedy zaczęły się ukazywać jego pierwsze powieści: Słońce zaś wschodzi (1926) i Pożegnanie z bronią (1929). W latach trzydziestych jako korespondent relacjonował z Hiszpanii tamtejszą wojnę domową, opisaną potem w powieści Komu bije dzwon (1940). W latach czterdziestych osiedlił się na Kubie, gdzie mieszkał do 1959 roku. W tym czasie powstała powieść Za rzekę, w cień drzew (1950) oraz opowiadanie Stary człowiek i morze (1952), uznawane za jedno z jego szczytowych osiągnięć i wyróżnione Nagrodą Pulitzera. W 1954 roku pisarz otrzymał Literacką Nagrodę Nobla. Zginął śmiercią samobójczą w 1961 roku. Maciej Potulny (ur. 1975) – po studiach na anglistyce i w kolegium języków obcych UAM w Poznaniu trochę pisał do lokalnych czasopism, trochę uczył, trochę pracował w księgarni, trochę wyjeżdżał tu i tam, trochę wydawał książki, trochę chciał być grajkiem, ale okazało się, że to nie covery utworów muzycznych sprawiają mu największą przyjemność, lecz covery utworów literackich. Od 2000 roku tłumaczy więc beletrystykę i nie tylko, między innymi Huberta Selby’ego Juniora, Chucka Palahniuka, Quentina Tarantino, Rachael Lippincott z kolegami oraz Huntera S. Thompsona (nie sam, bo przy nim najbardziej napracował się Marcin Wróbel). Od kilku lat mieszka w Australii, gdzie ściga się po czerwonych pustkowiach z kangurami, trąbi w didgeridoo i łapie krokodyle gołymi rękami. Ale zwykle po prostu siedzi na plaży w Melbourne, patrzy na obłędne zachody słońca i nie przestaje się dziwić.","Paryż, lata dwudzieste. Środowisko młodych amerykańskich artystów, którzy po wojnie przebywają w Europie. Czas spędzają na rozmowach, romansach i odwiedzaniu kolejnych barów. Postanawiają także wybrać się do Pampeluny, aby obejrzeć walki byków podczas lokalnej fiesty. Ta sielanka i pozorna beztroska podszyta jest jednak rozgoryczeniem i pesymizmem. W powściągliwym stylu i wartkich dialogach Hemingway oddaje klimat tamtych czasów i nastroje panujące wśród jego rówieśników – przedstawicieli „straconego pokolenia”, nad którego dojrzewaniem zaciążyły wojenne tragedie. Słońce zaś wschodzi to pierwsza powieść Ernesta Hemingwaya. Wydana w 1926 roku, wywołała sensację towarzyską i mimo rozbieżnych opinii krytyków cieszyła się dużą popularnością. Czytano ją jako powieść z kluczem, portretującą Amerykanów przebywających wówczas w Paryżu, a w postaci Jake’a Barnesa dopatrzono się autoportretu pisarza, nieżałującego swoim rywalom osobistych złośliwości. Za sprawą powieści wyjazdy do Francji i Hiszpanii stały się modne wśród zamożnych amerykańskich studentów, a młode czytelniczki stylizowały się na główną bohaterkę Brett Ashley, którą uznano za wzór kobiety niezależnej i wyzwolonej. Obecnie Słońce zaś wschodzi uważa się za jedno z najważniejszych dzieł Hemingwaya, a nowatorski styl utworu stał się inspiracją dla wielu późniejszych pisarzy. Ernest Hemingway (1899–1961) – amerykański pisarz i reporter. W 1918 roku zgłosił się na ochotnika do oddziałów Czerwonego Krzyża we Francji, został ranny podczas walk we Włoszech. Po powrocie do Stanów rozpoczął pracę dla „Toronto Star”. Wtedy zaczęły się ukazywać jego pierwsze powieści: Słońce zaś wschodzi (1926) i Pożegnanie z bronią (1929). W latach trzydziestych jako korespondent relacjonował z Hiszpanii tamtejszą wojnę domową, opisaną potem w powieści Komu bije dzwon (1940). W latach czterdziestych osiedlił się na Kubie, gdzie mieszkał do 1959 roku. W tym czasie powstała powieść Za rzekę, w cień drzew (1950) oraz opowiadanie Stary człowiek i morze (1952), uznawane za jedno z jego szczytowych osiągnięć i wyróżnione Nagrodą Pulitzera. W 1954 roku pisarz otrzymał Literacką Nagrodę Nobla. Zginął śmiercią samobójczą w 1961 roku. Maciej Potulny (ur. 1975) – po studiach na anglistyce i w kolegium języków obcych UAM w Poznaniu trochę pisał do lokalnych czasopism, trochę uczył, trochę pracował w księgarni, trochę wyjeżdżał tu i tam, trochę wydawał książki, trochę chciał być grajkiem, ale okazało się, że to nie covery utworów muzycznych sprawiają mu największą przyjemność, lecz covery utworów literackich. Od 2000 roku tłumaczy więc beletrystykę i nie tylko, między innymi Huberta Selby’ego Juniora, Chucka Palahniuka, Quentina Tarantino, Rachael Lippincott z kolegami oraz Huntera S. Thompsona (nie sam, bo przy nim najbardziej napracował się Marcin Wróbel). Od kilku lat mieszka w Australii, gdzie ściga się po czerwonych pustkowiach z kangurami, trąbi w didgeridoo i łapie krokodyle gołymi rękami. Ale zwykle po prostu siedzi na plaży w Melbourne, patrzy na obłędne zachody słońca i nie przestaje się dziwić.","https://ksiegarniainternetowa.co.uk/img/product_images_new/123/638123_01_slonce_zas_wschodzi.300.jpg","Wszystkie książki > Społeczno-obyczajowa,Wszystkie książki > Powieść zagraniczna, Wydawnictwa > Marginesy, Autorzy > Ernest Hemingway","1","1","5.37","10.60","taxable","zero-rate"
"9788383196077","Dwór skrzydeł i zguby Tom 3","Kod EAN","9788383196077","0","1","Tutuł","Dwór skrzydeł i zguby Tom 3","0","1","Autor","Sarah Maas","0","1","Wydawnictwo","Uroboros","0","1","Tytuł originału",,"0","1","Sarah Maas","Uroboros","9788383196077","13.5","20.2","0","0.73","9788383196077","848","Miękka ze skrzydełkami","2024","Feyra powraca do Dworu Wiosny, zdeterminowana by zdobyć informacje o działaniach Tamlina oraz potężnego, złowrogiego króla Hybernii, który grozi, że rozgromi cały Prythian. Jednak by to osiągnąć, musi najpierw rozegrać śmiercionośną, przewrotną grę… Jeden poślizg może zniszczyć nie tylko Feyrę, ale też cały jej świat. W obliczu wojny, która ogarnia wszystkich, Feyra znów musi decydować, komu może ufać i szukać sojuszników w najmniej oczekiwanych miejscach. Niebawem dwie armie zetrą się w krwawej, nierównej walce o władzę.","Feyra powraca do Dworu Wiosny, zdeterminowana by zdobyć informacje o działaniach Tamlina oraz potężnego, złowrogiego króla Hybernii, który grozi, że rozgromi cały Prythian. Jednak by to osiągnąć, musi najpierw rozegrać śmiercionośną, przewrotną grę… Jeden poślizg może zniszczyć nie tylko Feyrę, ale też cały jej świat. W obliczu wojny, która ogarnia wszystkich, Feyra znów musi decydować, komu może ufać i szukać sojuszników w najmniej oczekiwanych miejscach. Niebawem dwie armie zetrą się w krwawej, nierównej walce o władzę.","https://ksiegarniainternetowa.co.uk/img/product_images_new/541/863541_01_dwor_skrzydel_i_zguby_saga_dwor_cierni_i_roz_tom_3.300.jpg","Wszystkie książki > Fantastyka,Wszystkie książki > Fantasy, Wydawnictwa > Uroboros, Autorzy > Sarah Maas","1","1","9.14","12.80","taxable","zero-rate"
"9788324094783","Listonoszka z Apulii","Kod EAN","9788324094783","0","1","Tutuł","Listonoszka z Apulii","0","1","Autor","Francesca Giannone","0","1","Wydawnictwo","Znak Koncept","0","1","Tytuł originału","La Portalettere","0","1","Francesca Giannone","Znak Koncept","9788324094783","14.0","20.5","0","0.57","9788324094783","464","Twarda","2024","Znalazłam w szufladzie wizytówkę mojej prababci Anny. Oczywiście wiedziałam, kim była, ale nie znałam jej historii. Pomyślałam, że w tej szufladzie, wśród notatek, zdjęć, dokumentów i listów, jest życie do opowiedzenia. Francesca Giannone, wywiad dla „Corriere della Sera”  Włochy, lata trzydzieste. Maleńka społeczność na południu i niezależna kobieta z północy. Anna jest tam nowa i inna. Kocha książki, zna francuski, nie chodzi do kościoła, nie plotkuje, zawsze mówi to, co myśli. A myśli odważnie. W dodatku zostaje listonoszką, choć praca w męskim fachu „nie przystoi kobiecie”! Doręcza listy miłosne, pocztówki, pisma urzędowe, wiadomości z frontu i emigracji. Rozmawia z adresatami, a niepiśmiennym czyta listy i pomaga na nie odpisywać, nikt więc nie wie o życiu Lizzanello tyle co ona. Autorka tej wielokrotnie nagradzanej bestsellerowej powieści przedstawia nie tylko portret kobiety, która chciała żyć na własnych warunkach, ale też trzy dekady losów włoskiej rodziny i miasteczka. A w tle rodzący się faszyzm, wojnę i rewolucję obyczajową. To historia ludzi i epoki, latami skrywanych sekretów i miłości niemożliwych, które nie powinny były się wydarzyć… i nie mogły spełnić.","Znalazłam w szufladzie wizytówkę mojej prababci Anny. Oczywiście wiedziałam, kim była, ale nie znałam jej historii. Pomyślałam, że w tej szufladzie, wśród notatek, zdjęć, dokumentów i listów, jest życie do opowiedzenia. Francesca Giannone, wywiad dla „Corriere della Sera”  Włochy, lata trzydzieste. Maleńka społeczność na południu i niezależna kobieta z północy. Anna jest tam nowa i inna. Kocha książki, zna francuski, nie chodzi do kościoła, nie plotkuje, zawsze mówi to, co myśli. A myśli odważnie. W dodatku zostaje listonoszką, choć praca w męskim fachu „nie przystoi kobiecie”! Doręcza listy miłosne, pocztówki, pisma urzędowe, wiadomości z frontu i emigracji. Rozmawia z adresatami, a niepiśmiennym czyta listy i pomaga na nie odpisywać, nikt więc nie wie o życiu Lizzanello tyle co ona. Autorka tej wielokrotnie nagradzanej bestsellerowej powieści przedstawia nie tylko portret kobiety, która chciała żyć na własnych warunkach, ale też trzy dekady losów włoskiej rodziny i miasteczka. A w tle rodzący się faszyzm, wojnę i rewolucję obyczajową. To historia ludzi i epoki, latami skrywanych sekretów i miłości niemożliwych, które nie powinny były się wydarzyć… i nie mogły spełnić.","https://ksiegarniainternetowa.co.uk/img/product_images_new/462/878462_01_listonoszka_z_apulii.300.jpg","Wszystkie książki > Powieść zagraniczna,Wszystkie książki > Społeczno-obyczajowa, Wydawnictwa > Znak Koncept, Autorzy > Francesca Giannone","3","1","7.08","12.80","taxable","zero-rate"
"9788324070893","Światło w środku nocy","Kod EAN","9788324070893","0","1","Tutuł","Światło w środku nocy","0","1","Autor","Jojo Moyes","0","1","Wydawnictwo","Znak Literanova","0","1","Tytuł originału","The Giver of Stars","0","1","Jojo Moyes","Znak Literanova","9788324070893","20.5","14.4","0","0.572","9788324070893","544","Miękka","2020","NOWOŚĆ AUTORKI „ZANIM SIĘ POJAWIŁEŚ” Gwiazdy widać tylko w ciemności Alice czuje się jak wybrakowana wersja samej siebie. Szybki ślub z przystojnym Amerykaninem okazuje się pomyłką. W domu rządzi teść, który książki inne niż Biblia uznaje za stratę czasu. Na dodatek plotkuje o niej całe Baileyville, tylko dlatego że przybyła z dalekiej i równie nudnej Anglii. Otwarcie konnej biblioteki prowadzonej przez kobiety burzy spokój miasteczka. Na jej czele staje Margery, która brzydzi się hipokryzją i, o zgrozo, ma własne zdanie na każdy temat. Alice rusza na dzikie górskie szlaki z lekturami wzbudzającymi kontrowersje. Oliwy do ognia dolewa fakt, iż wśród kobiet zaczyna krążyć zakazana książeczka, która – jak twierdzą niektórzy – mąci im w głowach i budzi grzeszne myśli… Choć od Margery różni ją prawie wszystko, Alice odważy się iść za głosem wolności w świecie pełnym zakazów. A dzięki przyjaźni z Fredem zrozumie, że nigdy wcześniej naprawdę nie kochała. Nowa powieść Jojo Moyes o losach odważnych, niepokornych kobiet, które pokochasz równie mocno jak Lou Clark, niezapomnianą bohaterkę Zanim się pojawiłeś. Powyższy opis pochodzi od wydawcy","NOWOŚĆ AUTORKI „ZANIM SIĘ POJAWIŁEŚ” Gwiazdy widać tylko w ciemności Alice czuje się jak wybrakowana wersja samej siebie. Szybki ślub z przystojnym Amerykaninem okazuje się pomyłką. W domu rządzi teść, który książki inne niż Biblia uznaje za stratę czasu. Na dodatek plotkuje o niej całe Baileyville, tylko dlatego że przybyła z dalekiej i równie nudnej Anglii. Otwarcie konnej biblioteki prowadzonej przez kobiety burzy spokój miasteczka. Na jej czele staje Margery, która brzydzi się hipokryzją i, o zgrozo, ma własne zdanie na każdy temat. Alice rusza na dzikie górskie szlaki z lekturami wzbudzającymi kontrowersje. Oliwy do ognia dolewa fakt, iż wśród kobiet zaczyna krążyć zakazana książeczka, która – jak twierdzą niektórzy – mąci im w głowach i budzi grzeszne myśli… Choć od Margery różni ją prawie wszystko, Alice odważy się iść za głosem wolności w świecie pełnym zakazów. A dzięki przyjaźni z Fredem zrozumie, że nigdy wcześniej naprawdę nie kochała. Nowa powieść Jojo Moyes o losach odważnych, niepokornych kobiet, które pokochasz równie mocno jak Lou Clark, niezapomnianą bohaterkę Zanim się pojawiłeś. Powyższy opis pochodzi od wydawcy","https://ksiegarniainternetowa.co.uk/img/product_images_new/370/512370_01_swiatlo_w_srodku_nocy.300.jpg","Wszystkie książki > Powieść zagraniczna,Wszystkie książki > Społeczno-obyczajowa,Wszystkie książki > Literatura kobieca, Wydawnictwa > Znak Literanova, Autorzy > Jojo Moyes","3","1","5.31","9.60","taxable","zero-rate"
"9788376729541","Miś z długim ogonkiem","Kod EAN","9788376729541","0","1","Tutuł","Miś z długim ogonkiem","0","1","Autor","Beata Ostrowicka","0","1","Wydawnictwo","Literatura","0","1","Tytuł originału",,"0","1","Beata Ostrowicka","Literatura","9788376729541","19.0","23.0","0","0.272","9788376729541","34","Twarda","2021","Agatka nie ma ukochanej przytulanki i raczej nie bawi się misiami – do dnia, w którym znajduje Teofilka, starą zabawkę mamy. Okazuje się, że razem o wiele łatwiej rozmawia się z groźną sąsiadką, świetnie się biwakuje i bez strachu wskakuje do kąpieli. Ale, ale… po myciu przytulak bardzo się zmienił… Czy Agatka rozpozna w nim swojego przyjaciela?","Agatka nie ma ukochanej przytulanki i raczej nie bawi się misiami – do dnia, w którym znajduje Teofilka, starą zabawkę mamy. Okazuje się, że razem o wiele łatwiej rozmawia się z groźną sąsiadką, świetnie się biwakuje i bez strachu wskakuje do kąpieli. Ale, ale… po myciu przytulak bardzo się zmienił… Czy Agatka rozpozna w nim swojego przyjaciela?","https://ksiegarniainternetowa.co.uk/img/product_images_new/507/578507_01_mis_z_dlugim_ogonkiem.300.jpg","Wszystkie książki > Dla dzieci i młodzieży,Wszystkie książki > Dzieci do lat 6,Wszystkie książki > Bajka i baśń,Wszystkie książki > Bajki o zwierzętach, Wydawnictwa > Literatura, Autorzy > Beata Ostrowicka","3","1","2.93","6.40","taxable","zero-rate"
"9788382081121","Nasza mama czarodziejka","Kod EAN","9788382081121","0","1","Tutuł","Nasza mama czarodziejka","0","1","Autor","Joanna Papuzińska","0","1","Wydawnictwo","Literatura","0","1","Tytuł originału",,"0","1","Joanna Papuzińska","Literatura","9788382081121","19.0","23.0","0","0.295","9788382081121","48","Twarda","2022","Nasza mama wygląda całkiem zwyczajnie. Lubi się z nami bawić i zawsze nam pomaga, kiedy coś jest nie tak.  Wczoraj w nocy ulepiła z ciasta kawałeczek rożka, który obłamał się księżycowi. Wielkoludowi z naszego podwórka też pomogła – znów bawi się z nami na podwórku. Bo to był po prostu mój nadęty kolega! A kiedy potwór zajrzał do naszego okna podczas kolacji – poczęstowała go sałatą. Okazało się, że jest bardzo łagodny! Mama od razu to wiedziała.","Nasza mama wygląda całkiem zwyczajnie. Lubi się z nami bawić i zawsze nam pomaga, kiedy coś jest nie tak.  Wczoraj w nocy ulepiła z ciasta kawałeczek rożka, który obłamał się księżycowi. Wielkoludowi z naszego podwórka też pomogła – znów bawi się z nami na podwórku. Bo to był po prostu mój nadęty kolega! A kiedy potwór zajrzał do naszego okna podczas kolacji – poczęstowała go sałatą. Okazało się, że jest bardzo łagodny! Mama od razu to wiedziała.","https://ksiegarniainternetowa.co.uk/img/product_images_new/883/699883_01_nasza_mama_czarodziejka_wyd_25.300.jpg","Wszystkie książki > Przygodowa,Wszystkie książki > Dla dzieci i młodzieży,Wszystkie książki > Literatura dla dzieci polska,Wszystkie książki > Literatura dla dzieci polska (7-13 lat),Wszystkie książki > Dla dzieci i młodzieży,Wszystkie książki > Dzieci od 7 do 13, Wydawnictwa > Literatura, Autorzy > Joanna Papuzińska","3","1","2.93","6.40","taxable","zero-rate"
"9788382897890","Gdzie śpiewają raki","Kod EAN","9788382897890","0","1","Tutuł","Gdzie śpiewają raki","0","1","Autor","Delia Owens","0","1","Wydawnictwo","Świat Książki","0","1","Tytuł originału","Where the Crawdads Sing","0","1","Delia Owens","Świat Książki","9788382897890","13.5","21.5","0","0.39","9788382897890","416","Miękka ze skrzydełkami","2022","JAK DŁUGO ZDOŁASZ CHRONIĆ SWOJE SERCE?  Pogłoski o Dziewczynie z Bagien latami krążyły po Barkley Cove, sennym miasteczku u wybrzeży Karoliny Północnej. Dlatego pod koniec 1969 roku, gdy na mokradłach znaleziono ciało przystojnego Chase’a Andrewsa, miejscowi zwrócili się przeciwko Kyi Clark, zwanej Dziewczyną z Bagien.  Lecz Kya nie jest taka, jak o niej szepczą. Wrażliwa i inteligentna, zdołała sama przetrwać wiele lat na bagnach, które nazywa domem, choć jej ciało tęskniło za dotykiem i miłością. Przyjaźni szukała u mew, a wiedzę czerpała z natury. Kiedy dzikie piękno dziewczyny intryguje dwóch młodych mężczyzn z miasteczka, Kya otwiera się na nowe doznania — i dzieją się rzeczy niewyobrażalne.  Gdzie śpiewają raki to wysmakowana oda do świata przyrody, wzruszająca fabuła o dojrzewaniu i zaskakująca relacja z procesu. Owens przypomina, że dzieciństwo nas kształtuje definitywnie i że wszyscy bez wyjątku podlegamy wspaniałym, lecz nieokiełznanym sekretnym siłom natury. Doskonała powieść dla czytelniczek książek Barbary Kingsolver i Karen Russell.  Owens przedstawia odludne mokradła wybrzeży Karoliny Północnej z perspektywy porzuconego dziecka. Samotna dziewczynka otwiera nam oczy na cuda – i zagrożenia – jej prywatnego świata. Dojmująco piękna powieść... Kryminał na kanwie morderstwa, ponadczasowa gawęda i celebracja przyrody w jednym. THE NEW YORK TIMES BOOK REVIEW","JAK DŁUGO ZDOŁASZ CHRONIĆ SWOJE SERCE?  Pogłoski o Dziewczynie z Bagien latami krążyły po Barkley Cove, sennym miasteczku u wybrzeży Karoliny Północnej. Dlatego pod koniec 1969 roku, gdy na mokradłach znaleziono ciało przystojnego Chase’a Andrewsa, miejscowi zwrócili się przeciwko Kyi Clark, zwanej Dziewczyną z Bagien.  Lecz Kya nie jest taka, jak o niej szepczą. Wrażliwa i inteligentna, zdołała sama przetrwać wiele lat na bagnach, które nazywa domem, choć jej ciało tęskniło za dotykiem i miłością. Przyjaźni szukała u mew, a wiedzę czerpała z natury. Kiedy dzikie piękno dziewczyny intryguje dwóch młodych mężczyzn z miasteczka, Kya otwiera się na nowe doznania — i dzieją się rzeczy niewyobrażalne.  Gdzie śpiewają raki to wysmakowana oda do świata przyrody, wzruszająca fabuła o dojrzewaniu i zaskakująca relacja z procesu. Owens przypomina, że dzieciństwo nas kształtuje definitywnie i że wszyscy bez wyjątku podlegamy wspaniałym, lecz nieokiełznanym sekretnym siłom natury. Doskonała powieść dla czytelniczek książek Barbary Kingsolver i Karen Russell.  Owens przedstawia odludne mokradła wybrzeży Karoliny Północnej z perspektywy porzuconego dziecka. Samotna dziewczynka otwiera nam oczy na cuda – i zagrożenia – jej prywatnego świata. Dojmująco piękna powieść... Kryminał na kanwie morderstwa, ponadczasowa gawęda i celebracja przyrody w jednym. THE NEW YORK TIMES BOOK REVIEW","https://ksiegarniainternetowa.co.uk/img/product_images_new/117/703117_01_gdzie_piewaja_raki.300.jpg","Wszystkie książki > Powieść zagraniczna,Wszystkie książki > Społeczno-obyczajowa, Wydawnictwa > Świat Książki, Autorzy > Delia Owens","3","1","5.56","9.60","taxable","zero-rate"
"9788383820446","Sfora","Kod EAN","9788383820446","0","1","Tutuł","Sfora","0","1","Autor","Przemysław Piotrowski","0","1","Wydawnictwo","Czarna owca","0","1","Tytuł originału",,"0","1","Przemysław Piotrowski","Czarna owca","9788383820446","13.5","21.0","0","0.645","9788383820446","536","Twarda barwione brzegi","2024","Ekskluzywne wydanie w twardej oprawie z barwionymi brzegami. Zima. W lesie nieopodal Zielonej Góry odnaleziona zostaje ręka. Wstępne oględziny wskazują, że została ona… odgryziona przez człowieka. Atmosfera niepokoju w mieście narasta. W mediach pojawiają się pogłoski o grasującym w okolicach wilkołaku. Niedługo potem śledczy trafiają na zmasakrowane zwłoki zaginionej niedawno zakonnicy – ofiara została zamordowana, a jej ciało rozszarpały wilki. Inspektor Romuald Czarnecki powołuje specjalną grupę dochodzeniowo-śledczą, w skład której wchodzą również komisarz Igor Brudny i Julia Zawadzka ze stołecznej policji. Żadne z nich nie podejrzewa, z czym przyjdzie im się zmierzyć. Mimo zdecydowanych działań śledztwo komplikuje się coraz bardziej, a sprawca pozostaje nieuchwytny. Talent i trudna przeszłość Brudnego po raz kolejny mogą okazać się nieocenione.","Ekskluzywne wydanie w twardej oprawie z barwionymi brzegami. Zima. W lesie nieopodal Zielonej Góry odnaleziona zostaje ręka. Wstępne oględziny wskazują, że została ona… odgryziona przez człowieka. Atmosfera niepokoju w mieście narasta. W mediach pojawiają się pogłoski o grasującym w okolicach wilkołaku. Niedługo potem śledczy trafiają na zmasakrowane zwłoki zaginionej niedawno zakonnicy – ofiara została zamordowana, a jej ciało rozszarpały wilki. Inspektor Romuald Czarnecki powołuje specjalną grupę dochodzeniowo-śledczą, w skład której wchodzą również komisarz Igor Brudny i Julia Zawadzka ze stołecznej policji. Żadne z nich nie podejrzewa, z czym przyjdzie im się zmierzyć. Mimo zdecydowanych działań śledztwo komplikuje się coraz bardziej, a sprawca pozostaje nieuchwytny. Talent i trudna przeszłość Brudnego po raz kolejny mogą okazać się nieocenione.","https://ksiegarniainternetowa.co.uk/img/product_images_new/186/928186_01_sfora_komisarz_igor_brudny_tom_2_wyd_2024.300.jpg","Wszystkie książki > Kryminały,Wszystkie książki > Powieść polska, Wydawnictwa > Czarna owca, Autorzy > Przemysław Piotrowski","1","1","6.57","12.80","taxable","zero-rate"
"9788383820422","Piętno","Kod EAN","9788383820422","0","1","Tutuł","Piętno","0","1","Autor","Przemysław Piotrowski","0","1","Wydawnictwo","Czarna owca","0","1","Tytuł originału",,"0","1","Przemysław Piotrowski","Czarna owca","9788383820422","13.5","21.0","0","0.56","9788383820422","464","Twarda barwione brzegi","2024","Ekskluzywne wydanie w twardej oprawie z barwionymi brzegami. Igor Brudny to twardy warszawski glina, który woli nie wracać do swojej przeszłości. Tym razem nie ma innego wyjścia. Mężczyzna bliźniaczo podobny do Brudnego jest poszukiwany w sprawie wyjątkowo brutalnego morderstwa. Komisarz musi wrócić do Zielonej Góry, by oczyścić się z podejrzeń. Na miejscu działa już zespół śledczych dowodzony przez inspektora Romualda Czarneckiego. Ciała bezlitośnie okaleczonych ofiar nie pozostawiają wątpliwości – to dopiero początek. Pojawienie się Brudnego komplikuje całą sprawę. Czarnecki nie jest pewien, czy powinien ufać człowiekowi z twarzą mordercy...","Ekskluzywne wydanie w twardej oprawie z barwionymi brzegami. Igor Brudny to twardy warszawski glina, który woli nie wracać do swojej przeszłości. Tym razem nie ma innego wyjścia. Mężczyzna bliźniaczo podobny do Brudnego jest poszukiwany w sprawie wyjątkowo brutalnego morderstwa. Komisarz musi wrócić do Zielonej Góry, by oczyścić się z podejrzeń. Na miejscu działa już zespół śledczych dowodzony przez inspektora Romualda Czarneckiego. Ciała bezlitośnie okaleczonych ofiar nie pozostawiają wątpliwości – to dopiero początek. Pojawienie się Brudnego komplikuje całą sprawę. Czarnecki nie jest pewien, czy powinien ufać człowiekowi z twarzą mordercy...","https://ksiegarniainternetowa.co.uk/img/product_images_new/185/928185_01_pietno_komisarz_igor_brudny_tom_1_wyd_2024.300.jpg","Wszystkie książki > Kryminały,Wszystkie książki > Powieść polska, Wydawnictwa > Czarna owca, Autorzy > Przemysław Piotrowski","1","1","6.57","12.80","taxable","zero-rate"
"9788383820453","Smolarz","Kod EAN","9788383820453","0","1","Tutuł","Smolarz","0","1","Autor","Przemysław Piotrowski","0","1","Wydawnictwo","Czarna owca","0","1","Tytuł originału",,"0","1","Przemysław Piotrowski","Czarna owca","9788383820453","13.5","21.0","0","0.535","9788383820453","424","Twarda barwione brzegi","2024","Ekskluzywne wydanie w twardej oprawie z barwionymi brzegami. W Bieszczadach dochodzi do zaginięcia dwóch turystek. Z powodu tragedii ożywa legenda o ponurym smolarzu. Dręczony wyrzutami sumienia Igor Brudny, który w górach próbował odzyskać spokój, wbrew sobie angażuje się w sprawę. Gdy podejrzenie pada na jego sąsiada, zajmującego się wypałem drewna Samuela, komisarz jako jedyny kwestionuje jego winę. Przeciwko sobie ma nie tylko tajemniczego mordercę, lecz także miejscowy układ sił, na którego czele stoi polityk będący dla mieszkańców niemal bogiem. Szukając sprawcy, Brudny odkryje tajemnicę, przy której straszna legenda okaże się jedynie bajeczką dla dzieci.","Ekskluzywne wydanie w twardej oprawie z barwionymi brzegami. W Bieszczadach dochodzi do zaginięcia dwóch turystek. Z powodu tragedii ożywa legenda o ponurym smolarzu. Dręczony wyrzutami sumienia Igor Brudny, który w górach próbował odzyskać spokój, wbrew sobie angażuje się w sprawę. Gdy podejrzenie pada na jego sąsiada, zajmującego się wypałem drewna Samuela, komisarz jako jedyny kwestionuje jego winę. Przeciwko sobie ma nie tylko tajemniczego mordercę, lecz także miejscowy układ sił, na którego czele stoi polityk będący dla mieszkańców niemal bogiem. Szukając sprawcy, Brudny odkryje tajemnicę, przy której straszna legenda okaże się jedynie bajeczką dla dzieci.","https://ksiegarniainternetowa.co.uk/img/product_images_new/187/928187_01_smolarz_komisarz_igor_brudny_tom_6_wyd_2024.300.jpg","Wszystkie książki > Kryminały,Wszystkie książki > Powieść polska, Wydawnictwa > Czarna owca, Autorzy > Przemysław Piotrowski","1","1","6.57","12.80","taxable","zero-rate"
