Name;Autor;isbn;OP Barcode;Stock;Cost;Regular Price;Wydawnictwo;Tax Status;Tax class
Słońce zaś wschodzi;Hemingway Ernest;9788367262217;9788367262217;1;5.37;10.60;Marginesy;taxable;zero-rate
Dwór skrzydeł i zguby Tom 3;Maas Sarah;9788383196077;9788383196077;1;9.14;12.80;Uroboros;taxable;zero-rate
Listonoszka z Apulii;Giannone Francesca;9788324094783;9788324094783;3;7.08;12.80;Znak Koncept;taxable;zero-rate
Światło w środku nocy;Moyes Jojo;9788324070893;9788324070893;3;5.31;9.60;Znak Literanova;taxable;zero-rate
Miś z długim ogonkiem;Ostrowicka Beata;9788376729541;9788376729541;3;2.93;6.40;Literatura;taxable;zero-rate
Nasza mama czarodziejka wyd.25/2023;Papuzińska Joanna;9788382081121;9788382081121;3;2.93;6.40;Literatura;taxable;zero-rate
Gdzie śpiewają raki;Owens Delia;9788382897890;9788382897890;3;5.56;9.60;Świat Książki;taxable;zero-rate
Sfora;Piotrowski Przemysław;9788383820446;9788383820446;1;6.57;12.80;Czarna Owca;taxable;zero-rate
Piętno;Piotrowski Przemysław;9788383820422;9788383820422;1;6.57;12.80;Czarna Owca;taxable;zero-rate
Smolarz;Piotrowski Przemysław;9788383820453;9788383820453;1;6.57;12.80;Czarna Owca;taxable;zero-rate
Zaraza;Piotrowski Przemysław;9788383820460;9788383820460;1;6.57;12.80;Czarna Owca;taxable;zero-rate
Anubis;Piotrowski Przemysław;9788383820347;9788383820347;1;6.57;12.80;Czarna Owca;taxable;zero-rate
Bagno;Piotrowski Przemysław;9788383820354;9788383820354;1;6.57;12.80;Czarna Owca;taxable;zero-rate
Cherub;Piotrowski Przemysław;9788383820361;9788383820361;1;6.57;12.80;Czarna Owca;taxable;zero-rate
Psi Patrol. Story 54. Zaginiona kareta;null null;9788382828924;9788382828924;5;1.02;2.10;Media Service Zawada;taxable;zero-rate
Dzień czekolady;Onichimowska Anna;9788382081374;9788382081374;3;3.23;7.00;Literatura;taxable;zero-rate
Baśń o złamanym sercu;Garber Stephanie;9788367195553;9788367195553;3;4.77;9.60;Poradnia K;taxable;zero-rate
Gil Teofil Rozmowy o Panu Jezusie;Kozioł Dorota;9788383453651;9788383453651;3;1.21;2.10;Wydawnictwo Diecezjalne;taxable;zero-rate
Pas Oriona;Merrin Rose;9788382932737;9788382932737;3;6.08;10.60;Videograf;taxable;zero-rate
Lisia żona;Choo Yangsze;9788383820026;9788383820026;3;7.31;12.80;Echa;taxable;zero-rate
Somatyczna terapia traumy;Dann Jordan;9788382527964;9788382527964;3;5.47;10.60;Czarna Owca;taxable;zero-rate
Psi Patrol. Kocham naklejać. Psiastyczni Przyj;null null;9788382829143;9788382829143;5;2.86;6.00;Media Service Zawada;taxable;zero-rate
Nieczuły casanova;Shen LJ;9788368381153;9788368381153;3;6.98;13.80;Luna;taxable;zero-rate
To jej wina;Angström Emma;9788321353371;9788321353371;3;5.82;11.70;LeTra;taxable;zero-rate
Robert Lewandowski Fantastyczna 9 W4;Słomiński Maciej;9788384000250;9788384000250;3;5.73;11.70;RM;taxable;zero-rate
Złodziejka wspomnień (barwione brzegi);Wasilewska Renata;9788367788649;9788367788649;3;7.97;13.20;Białe Pióro;taxable;zero-rate
My Beloved Monster. Wydanie premium;Łabęcka Marta;9788328910782;9788328910782;3;8.73;16.80;BeYa;taxable;zero-rate
Niezwykłe objawienia ks. Jerzego Popiełuszki w;Kindziuk Milena,Naumowicz Józe;9788368317879;9788368317879;3;6.44;9.60;Esprit;taxable;zero-rate
Siedem skór Esther Wilding;Ringland Holly;9788368367614;9788368367614;3;6.98;13.80;Marginesy;taxable;zero-rate
Ballada dla Adeli;Stryjewska Anna;9788383298979;9788383298979;3;5.29;10.60;Skarpa Warszawska;taxable;zero-rate
Uzdrawianie dźwiękiem;Dodd Vickie;9788383719986;9788383719986;3;5.3;10.60;Wydawnictwo Kobiece;taxable;zero-rate
Szczęściary;Kordel Magdalena;9788383672182;9788383672182;3;5.9;10.60;Znak;taxable;zero-rate
Cała słodycz życia;Jeż Agnieszka;9788384023433;9788384023433;3;5.37;10.60;Filia;taxable;zero-rate
Mniej więcej Maddy;Genova Lisa;9788384023495;9788384023495;3;5.69;11.30;Filia;taxable;zero-rate
Zadanka & malowanki wodne. Zwierzaki;Żyłowska Wioleta;9788382079890;9788382079890;3;1.01;1.90;Skrzat;taxable;zero-rate
Zadanka & malowanki wodne. Samochody specjalis;Żyłowska Wioleta;9788382079869;9788382079869;3;1.01;1.90;Skrzat;taxable;zero-rate
Syrenki. Zadanka & piaskowanki;Żyłowska Wioleta;9788382079647;9788382079647;3;1.35;2.50;Skrzat;taxable;zero-rate
Smoki. Zadanka & piaskowanki;Wioleta Żyłowska;9788382079630;9788382079630;3;1.35;2.50;Skrzat;taxable;zero-rate
Podróż Tomka Sawyera;Twain, Mark;9788368395327;9788368395327;3;3;6.40;Aleksandria;taxable;zero-rate
Lew Leonard;Dorota Kozioł;9788383452814;9788383452814;3;1.82;3.20;Wydawnictwo Diecezjalne;taxable;zero-rate
Piesek Węgielek broszura;Kozioł Dorota;9788383453781;9788383453781;3;1.21;2.10;Wydawnictwo Diecezjalne;taxable;zero-rate
Modlitewnik dla dzieci;Dróżdż-Kołacińska Karolina;9788366783843;9788366783843;3;3.04;5.30;Paulinianum;taxable;zero-rate
Tyldzia i Cynamonka. Moja przyjaciółka Cynamon;Reittu Ninka;9788328737617;9788328737617;3;3.27;6.40;Magiczne;taxable;zero-rate
Diabelskie Morze;Clive Cussler, Dirk Cussler;9788324185016;9788324185016;3;5.13;12.30;Amber;taxable;zero-rate
Kot w domu W4;Sieradzan Barbara;9788384000335;9788384000335;3;4.17;8.50;RM;taxable;zero-rate
Czytamy i słuchamy. Na morzu;Grabowska Aneta;9788382078916;9788382078916;3;5.15;10.20;Skrzat;taxable;zero-rate
Czytamy i słuchamy. W domu;Grabowska Aneta;9788382078947;9788382078947;3;5.15;10.20;Skrzat;taxable;zero-rate
Poznaj świat Zabawa z naklejkami W mieście;null null;9788382743128;9788382743128;5;0.96;2.80;Dragon;taxable;zero-rate
Dzieci, Media, Okultyzm;Więczkowska Małgorzata;9788366783898;9788366783898;3;7.19;12.60;Paulinianum;taxable;zero-rate
Na końcu świata (The Alaskan);Curwood James Oliver;9788368018394;9788368018394;3;4.12;8.10;CM;taxable;zero-rate
