Link,Rodzaj (nośnik),Dział,Autor,Tytuł,Tytuł originału,Język,Wydawca,Rok wydania,Rodzaj oprawy,Wymiary,Liczba stron,Ciężar,Wydano,ISBN,EAN/UPC,Image,Description,Kategoria
/pl/slonce_zas_wschodzi-9788367262217,książka / book,Książki i czasopisma / Books and periodicals,Ernest Hemingway,Zaś słońce wschodzi,The Sun Also Rises,polski,Marginesy,2022,Twarda,13.5x20.5,296,"0,36 kg",15.06.2022,9788367262217 (9788367262217),9788367262217,/img/product_images_new/123/638123_01_slonce_zas_wschodzi.300.jpg,"Paryż, lata dwudzieste. Środowisko młodych amerykańskich artystów, którzy po wojnie przebywają w Europie. Czas spędzają na rozmowach, romansach i odwiedzaniu kolejnych barów. Postanawiają także wybrać się do Pampeluny, aby obejrzeć walki byków podczas lokalnej fiesty. Ta sielanka i pozorna beztroska podszyta jest jednak rozgoryczeniem i pesymizmem. W powściągliwym stylu i wartkich dialogach Hemingway oddaje klimat tamtych czasów i nastroje panujące wśród jego rówieśników – przedstawicieli „straconego pokolenia”, nad którego dojrzewaniem zaciążyły wojenne tragedie. Słońce zaś wschodzi to pierwsza powieść Ernesta Hemingwaya. Wydana w 1926 roku, wywołała sensację towarzyską i mimo rozbieżnych opinii krytyków cieszyła się dużą popularnością. Czytano ją jako powieść z kluczem, portretującą Amerykanów przebywających wówczas w Paryżu, a w postaci Jake’a Barnesa dopatrzono się autoportretu pisarza, nieżałującego swoim rywalom osobistych złośliwości. Za sprawą powieści wyjazdy do Francji i Hiszpanii stały się modne wśród zamożnych amerykańskich studentów, a młode czytelniczki stylizowały się na główną bohaterkę Brett Ashley, którą uznano za wzór kobiety niezależnej i wyzwolonej. Obecnie Słońce zaś wschodzi uważa się za jedno z najważniejszych dzieł Hemingwaya, a nowatorski styl utworu stał się inspiracją dla wielu późniejszych pisarzy. Ernest Hemingway (1899–1961) – amerykański pisarz i reporter. W 1918 roku zgłosił się na ochotnika do oddziałów Czerwonego Krzyża we Francji, został ranny podczas walk we Włoszech. Po powrocie do Stanów rozpoczął pracę dla „Toronto Star”. Wtedy zaczęły się ukazywać jego pierwsze powieści: Słońce zaś wschodzi (1926) i Pożegnanie z bronią (1929). W latach trzydziestych jako korespondent relacjonował z Hiszpanii tamtejszą wojnę domową, opisaną potem w powieści Komu bije dzwon (1940). W latach czterdziestych osiedlił się na Kubie, gdzie mieszkał do 1959 roku. W tym czasie powstała powieść Za rzekę, w cień drzew (1950) oraz opowiadanie Stary człowiek i morze (1952), uznawane za jedno z jego szczytowych osiągnięć i wyróżnione Nagrodą Pulitzera. W 1954 roku pisarz otrzymał Literacką Nagrodę Nobla. Zginął śmiercią samobójczą w 1961 roku. Maciej Potulny (ur. 1975) – po studiach na anglistyce i w kolegium języków obcych UAM w Poznaniu trochę pisał do lokalnych czasopism, trochę uczył, trochę pracował w księgarni, trochę wyjeżdżał tu i tam, trochę wydawał książki, trochę chciał być grajkiem, ale okazało się, że to nie covery utworów muzycznych sprawiają mu największą przyjemność, lecz covery utworów literackich. Od 2000 roku tłumaczy więc beletrystykę i nie tylko, między innymi Huberta Selby’ego Juniora, Chucka Palahniuka, Quentina Tarantino, Rachael Lippincott z kolegami oraz Huntera S. Thompsona (nie sam, bo przy nim najbardziej napracował się Marcin Wróbel). Od kilku lat mieszka w Australii, gdzie ściga się po czerwonych pustkowiach z kangurami, trąbi w didgeridoo i łapie krokodyle gołymi rękami. Ale zwykle po prostu siedzi na plaży w Melbourne, patrzy na obłędne zachody słońca i nie przestaje się dziwić.","Społeczno-obyczajowa, Powieść zagraniczna"
/pl/dwor_skrzydel_i_zguby_saga_dwor_cierni_i_roz_tom_3-9788383196077,książka / book,Książki i czasopisma / Books and periodicals,Sarah Maas,Dwór skrzydeł i zguby Tom 3,,polski,Uroboros,2024,Miękka ze skrzydełkami,13.5x20.2,848,"0,73 kg",15.05.2024,9788383196077 (9788383196077),9788383196077,/img/product_images_new/541/863541_01_dwor_skrzydel_i_zguby_saga_dwor_cierni_i_roz_tom_3.300.jpg,"Feyra powraca do Dworu Wiosny, zdeterminowana by zdobyć informacje o działaniach Tamlina oraz potężnego, złowrogiego króla Hybernii, który grozi, że rozgromi cały Prythian. Jednak by to osiągnąć, musi najpierw rozegrać śmiercionośną, przewrotną grę… Jeden poślizg może zniszczyć nie tylko Feyrę, ale też cały jej świat. W obliczu wojny, która ogarnia wszystkich, Feyra znów musi decydować, komu może ufać i szukać sojuszników w najmniej oczekiwanych miejscach. Niebawem dwie armie zetrą się w krwawej, nierównej walce o władzę.","Fantastyka, Fantasy"
/pl/listonoszka_z_apulii-9788324094783,książka / book,Książki i czasopisma / Books and periodicals,Francesca Giannone,Listonoszka z Apulii,La Portalettere,włoski,Znak Koncept,2024,Twarda,14.0x20.5,464,"0,57 kg",17.07.2024,9788324094783 (9788324094783),9788324094783,/img/product_images_new/462/878462_01_listonoszka_z_apulii.300.jpg,"Znalazłam w szufladzie wizytówkę mojej prababci Anny. Oczywiście wiedziałam, kim była, ale nie znałam jej historii. Pomyślałam, że w tej szufladzie, wśród notatek, zdjęć, dokumentów i listów, jest życie do opowiedzenia. Francesca Giannone, wywiad dla „Corriere della Sera”  Włochy, lata trzydzieste. Maleńka społeczność na południu i niezależna kobieta z północy. Anna jest tam nowa i inna. Kocha książki, zna francuski, nie chodzi do kościoła, nie plotkuje, zawsze mówi to, co myśli. A myśli odważnie. W dodatku zostaje listonoszką, choć praca w męskim fachu „nie przystoi kobiecie”! Doręcza listy miłosne, pocztówki, pisma urzędowe, wiadomości z frontu i emigracji. Rozmawia z adresatami, a niepiśmiennym czyta listy i pomaga na nie odpisywać, nikt więc nie wie o życiu Lizzanello tyle co ona. Autorka tej wielokrotnie nagradzanej bestsellerowej powieści przedstawia nie tylko portret kobiety, która chciała żyć na własnych warunkach, ale też trzy dekady losów włoskiej rodziny i miasteczka. A w tle rodzący się faszyzm, wojnę i rewolucję obyczajową. To historia ludzi i epoki, latami skrywanych sekretów i miłości niemożliwych, które nie powinny były się wydarzyć… i nie mogły spełnić.","Powieść zagraniczna, Społeczno-obyczajowa"
/pl/swiatlo_w_srodku_nocy-9788324070893,książka / book,Książki i czasopisma / Books and periodicals,Jojo Moyes,Światło w środku nocy,The Giver of Stars,angielski,Znak Literanova,2020,Miękka,20.5x14.4,544,"0,572 kg",29.01.2020,9788324070893 (9788324070893),9788324070893,/img/product_images_new/370/512370_01_swiatlo_w_srodku_nocy.300.jpg,"NOWOŚĆ AUTORKI „ZANIM SIĘ POJAWIŁEŚ” Gwiazdy widać tylko w ciemności Alice czuje się jak wybrakowana wersja samej siebie. Szybki ślub z przystojnym Amerykaninem okazuje się pomyłką. W domu rządzi teść, który książki inne niż Biblia uznaje za stratę czasu. Na dodatek plotkuje o niej całe Baileyville, tylko dlatego że przybyła z dalekiej i równie nudnej Anglii. Otwarcie konnej biblioteki prowadzonej przez kobiety burzy spokój miasteczka. Na jej czele staje Margery, która brzydzi się hipokryzją i, o zgrozo, ma własne zdanie na każdy temat. Alice rusza na dzikie górskie szlaki z lekturami wzbudzającymi kontrowersje. Oliwy do ognia dolewa fakt, iż wśród kobiet zaczyna krążyć zakazana książeczka, która – jak twierdzą niektórzy – mąci im w głowach i budzi grzeszne myśli… Choć od Margery różni ją prawie wszystko, Alice odważy się iść za głosem wolności w świecie pełnym zakazów. A dzięki przyjaźni z Fredem zrozumie, że nigdy wcześniej naprawdę nie kochała. Nowa powieść Jojo Moyes o losach odważnych, niepokornych kobiet, które pokochasz równie mocno jak Lou Clark, niezapomnianą bohaterkę Zanim się pojawiłeś. Powyższy opis pochodzi od wydawcy","Powieść zagraniczna, Społeczno-obyczajowa, Literatura kobieca"
/pl/mis_z_dlugim_ogonkiem-9788376729541,książka / book,Książki i czasopisma / Books and periodicals,Beata Ostrowicka,Miś z długim ogonkiem,,polski,Literatura,2021,Twarda,19.0x23.0,34,"0,272 kg",05.03.2021,9788376729541 (9788376729541),9788376729541,/img/product_images_new/507/578507_01_mis_z_dlugim_ogonkiem.300.jpg,"Agatka nie ma ukochanej przytulanki i raczej nie bawi się misiami – do dnia, w którym znajduje Teofilka, starą zabawkę mamy. Okazuje się, że razem o wiele łatwiej rozmawia się z groźną sąsiadką, świetnie się biwakuje i bez strachu wskakuje do kąpieli. Ale, ale… po myciu przytulak bardzo się zmienił… Czy Agatka rozpozna w nim swojego przyjaciela?","Dla dzieci i młodzieży, Dzieci do lat 6, Bajka i baśń, Bajki o zwierzętach"
/pl/nasza_mama_czarodziejka-9788382081121,książka / book,Książki i czasopisma / Books and periodicals,Joanna Papuzińska,Nasza mama czarodziejka,,polski,Literatura,2022,Twarda,19.0x23.0,48,"0,295 kg",01.09.2022,9788382081121 (9788382081121),9788382081121,/img/product_images_new/883/699883_01_nasza_mama_czarodziejka_wyd_25.300.jpg,"Nasza mama wygląda całkiem zwyczajnie. Lubi się z nami bawić i zawsze nam pomaga, kiedy coś jest nie tak.  Wczoraj w nocy ulepiła z ciasta kawałeczek rożka, który obłamał się księżycowi. Wielkoludowi z naszego podwórka też pomogła – znów bawi się z nami na podwórku. Bo to był po prostu mój nadęty kolega! A kiedy potwór zajrzał do naszego okna podczas kolacji – poczęstowała go sałatą. Okazało się, że jest bardzo łagodny! Mama od razu to wiedziała.","Przygodowa, Dla dzieci i młodzieży, Literatura dla dzieci polska, Literatura dla dzieci polska (7-13 lat), Dla dzieci i młodzieży, Dzieci od 7 do 13"
/pl/gdzie_spiewaja_raki-9788382897890,książka / book,Książki i czasopisma / Books and periodicals,Delia Owens,Gdzie śpiewają raki,Where the Crawdads Sing,polski,Świat Książki,2022,Miękka ze skrzydełkami,13.5x21.5,416,"0,39 kg",05.08.2022,9788382897890 (9788382897890),9788382897890,/img/product_images_new/117/703117_01_gdzie_piewaja_raki.300.jpg,"JAK DŁUGO ZDOŁASZ CHRONIĆ SWOJE SERCE?  Pogłoski o Dziewczynie z Bagien latami krążyły po Barkley Cove, sennym miasteczku u wybrzeży Karoliny Północnej. Dlatego pod koniec 1969 roku, gdy na mokradłach znaleziono ciało przystojnego Chase’a Andrewsa, miejscowi zwrócili się przeciwko Kyi Clark, zwanej Dziewczyną z Bagien.  Lecz Kya nie jest taka, jak o niej szepczą. Wrażliwa i inteligentna, zdołała sama przetrwać wiele lat na bagnach, które nazywa domem, choć jej ciało tęskniło za dotykiem i miłością. Przyjaźni szukała u mew, a wiedzę czerpała z natury. Kiedy dzikie piękno dziewczyny intryguje dwóch młodych mężczyzn z miasteczka, Kya otwiera się na nowe doznania — i dzieją się rzeczy niewyobrażalne.  Gdzie śpiewają raki to wysmakowana oda do świata przyrody, wzruszająca fabuła o dojrzewaniu i zaskakująca relacja z procesu. Owens przypomina, że dzieciństwo nas kształtuje definitywnie i że wszyscy bez wyjątku podlegamy wspaniałym, lecz nieokiełznanym sekretnym siłom natury. Doskonała powieść dla czytelniczek książek Barbary Kingsolver i Karen Russell.  Owens przedstawia odludne mokradła wybrzeży Karoliny Północnej z perspektywy porzuconego dziecka. Samotna dziewczynka otwiera nam oczy na cuda – i zagrożenia – jej prywatnego świata. Dojmująco piękna powieść... Kryminał na kanwie morderstwa, ponadczasowa gawęda i celebracja przyrody w jednym. THE NEW YORK TIMES BOOK REVIEW","Powieść zagraniczna, Społeczno-obyczajowa"
/pl/sfora_komisarz_igor_brudny_tom_2_wyd_2024-9788383820446,książka / book,Książki i czasopisma / Books and periodicals,Przemysław Piotrowski,Sfora,,polski,Czarna owca,2024,Twarda barwione brzegi,13.5x21.0,536,"0,645 kg",09.10.2024,9788383820446 (9788383820446),9788383820446,/img/product_images_new/186/928186_01_sfora_komisarz_igor_brudny_tom_2_wyd_2024.300.jpg,"Ekskluzywne wydanie w twardej oprawie z barwionymi brzegami. Zima. W lesie nieopodal Zielonej Góry odnaleziona zostaje ręka. Wstępne oględziny wskazują, że została ona… odgryziona przez człowieka. Atmosfera niepokoju w mieście narasta. W mediach pojawiają się pogłoski o grasującym w okolicach wilkołaku. Niedługo potem śledczy trafiają na zmasakrowane zwłoki zaginionej niedawno zakonnicy – ofiara została zamordowana, a jej ciało rozszarpały wilki. Inspektor Romuald Czarnecki powołuje specjalną grupę dochodzeniowo-śledczą, w skład której wchodzą również komisarz Igor Brudny i Julia Zawadzka ze stołecznej policji. Żadne z nich nie podejrzewa, z czym przyjdzie im się zmierzyć. Mimo zdecydowanych działań śledztwo komplikuje się coraz bardziej, a sprawca pozostaje nieuchwytny. Talent i trudna przeszłość Brudnego po raz kolejny mogą okazać się nieocenione.","Kryminały, Powieść polska"
/pl/pietno_komisarz_igor_brudny_tom_1_wyd_2024-9788383820422,książka / book,Książki i czasopisma / Books and periodicals,Przemysław Piotrowski,Piętno,,polski,Czarna owca,2024,Twarda barwione brzegi,13.5x21.0,464,"0,56 kg",09.10.2024,9788383820422 (9788383820422),9788383820422,/img/product_images_new/185/928185_01_pietno_komisarz_igor_brudny_tom_1_wyd_2024.300.jpg,"Ekskluzywne wydanie w twardej oprawie z barwionymi brzegami. Igor Brudny to twardy warszawski glina, który woli nie wracać do swojej przeszłości. Tym razem nie ma innego wyjścia. Mężczyzna bliźniaczo podobny do Brudnego jest poszukiwany w sprawie wyjątkowo brutalnego morderstwa. Komisarz musi wrócić do Zielonej Góry, by oczyścić się z podejrzeń. Na miejscu działa już zespół śledczych dowodzony przez inspektora Romualda Czarneckiego. Ciała bezlitośnie okaleczonych ofiar nie pozostawiają wątpliwości – to dopiero początek. Pojawienie się Brudnego komplikuje całą sprawę. Czarnecki nie jest pewien, czy powinien ufać człowiekowi z twarzą mordercy...","Kryminały, Powieść polska"
/pl/smolarz_komisarz_igor_brudny_tom_6_wyd_2024-9788383820453,książka / book,Książki i czasopisma / Books and periodicals,Przemysław Piotrowski,Smolarz,,polski,Czarna owca,2024,Twarda barwione brzegi,13.5x21.0,424,"0,535 kg",09.10.2024,9788383820453 (9788383820453),9788383820453,/img/product_images_new/187/928187_01_smolarz_komisarz_igor_brudny_tom_6_wyd_2024.300.jpg,"Ekskluzywne wydanie w twardej oprawie z barwionymi brzegami. W Bieszczadach dochodzi do zaginięcia dwóch turystek. Z powodu tragedii ożywa legenda o ponurym smolarzu. Dręczony wyrzutami sumienia Igor Brudny, który w górach próbował odzyskać spokój, wbrew sobie angażuje się w sprawę. Gdy podejrzenie pada na jego sąsiada, zajmującego się wypałem drewna Samuela, komisarz jako jedyny kwestionuje jego winę. Przeciwko sobie ma nie tylko tajemniczego mordercę, lecz także miejscowy układ sił, na którego czele stoi polityk będący dla mieszkańców niemal bogiem. Szukając sprawcy, Brudny odkryje tajemnicę, przy której straszna legenda okaże się jedynie bajeczką dla dzieci.","Kryminały, Powieść polska"
